StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q5_1,Q5_2,Q6,Q7,Q8,Q9_1,Q9_2,Q10,Q11,Q12_1,Q13,Q14,Q15_1,Q15_2,Q16,Q17,Q18_1,Q18_2,Q19,Q20,Q21_1,Q21_2,Q22,Q23,Q24_1,Q24_2,Q25,Q26,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q29,Q30
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,1. What is your role?,2. What kind of team are you on?,"[Faculty Session] Big Picture and Spiral Review (Kathryn Boudett & Penny Jayne)In this session, we reviewed the feedback from Monday and then discussed the difference between adaptive and technical challenges and considered how to categorize our biggest challenges.  Finally, we heard perspectives from 3 educators from a primary school in Melbourne about what it felt like to practice distributed leadership. - Importance of Topic","[Faculty Session] Big Picture and Spiral Review (Kathryn Boudett & Penny Jayne)In this session, we reviewed the feedback from Monday and then discussed the difference between adaptive and technical challenges and considered how to categorize our biggest challenges.  Finally, we heard perspectives from 3 educators from a primary school in Melbourne about what it felt like to practice distributed leadership. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,Which of the folllowing best describes your experience with the 14-minute Assessment Literacy video that was assigned for homework last night?,"[Faculty Session] Building Assessment Literacy (Meghan Lockwood & Jorge Peña)In this whole group session, we discussed how assessments shine a light on student skills and knowledge and we practiced applying responsible assessment literacy practices in a variety of examples. - Importance of Topic","[Faculty Session] Building Assessment Literacy (Meghan Lockwood & Jorge Peña)In this whole group session, we discussed how assessments shine a light on student skills and knowledge and we practiced applying responsible assessment literacy practices in a variety of examples. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,"[Team Session] Building Assessment Literacy (Team Time)

In this first team session of the day, objectives were to: 


	Understand that because any given assessment illuminates a portion of the skills and knowledge we want students to acquire, we must know how the domain of a test relates to the larger domain of those skills 
	Learn key attributes to consider when studying how assessment results are reported.
	Know responsible assessment literacy practices and why they are effective
	Apply responsible assessment literacy practices when interpreting several different school scenarios
	Review the skills tested and how results are reported on a frequently used assessment Discuss how to build assessment literacy with our faculty - Quality of Collaboration",What worked well about this session?,What would you have liked to change about this session?,"[Case Session] System Case: Taking a System Team Data Wise Journey (Penny Jayne & David Rease, Jr.)



In this session, we saw an
example of what a system team Data Wise journey looks like in Prince George's
County Public Schools.  We also discussed
the PGCPS case that we read for homework, focusing on the leadership moves
needed when using an improvement process throughout a system. - Quality of Collaboration","[Case Session] System Case: Taking a System Team Data Wise Journey (Penny Jayne & David Rease, Jr.)



In this session, we saw an
example of what a system team Data Wise journey looks like in Prince George's
County Public Schools.  We also discussed
the PGCPS case that we read for homework, focusing on the leadership moves
needed when using an improvement process throughout a system. - Value of Session",What worked well about this session?,What would you have liked to change about this session?,"[Faculty Session] Creating a Data Overview (Kathryn Boudett & Penny Jayne)In this whole group session, we learned about how to choose a focus area and how to find the story in a pile of data.  We then sketched a chart to display that story. - Importance of Topic","[Faculty Session] Creating a Data Overview (Kathryn Boudett & Penny Jayne)In this whole group session, we learned about how to choose a focus area and how to find the story in a pile of data.  We then sketched a chart to display that story. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,"[Team Session] Creating a Data Overview (Team Time)

In this afternoon team session, the objectives were to:


	Know what a focus area is and how to choose one.
	Know the purpose of a data overview meeting.
	​Know the importance of seeing the stories in a pile of data.
	Practice creating clear and compelling data displays. - Quality of Collaboration","[Team Session] Creating a Data Overview (Team Time)

In this afternoon team session, the objectives were to:


	Know what a focus area is and how to choose one.
	Know the purpose of a data overview meeting.
	​Know the importance of seeing the stories in a pile of data.
	Practice creating clear and compelling data displays. - Value of Session",What worked well about this session?,What would you have liked to change about this session?,"[Team Session] Strategic Planning and Coherence I (Team Time)

 

Team meeting objectives were to:


	 Reflect on what we heard from the Prince George’s County system team 
	Understand how our system’s initiatives related to improving instruction fit together 
	Articulate how we hope Data Wise will bring coherence to our system - Quality of Collaboration","[Team Session] Strategic Planning and Coherence I (Team Time)

 

Team meeting objectives were to:


	 Reflect on what we heard from the Prince George’s County system team 
	Understand how our system’s initiatives related to improving instruction fit together 
	Articulate how we hope Data Wise will bring coherence to our system - Value of Session",What worked well about this session?,What would you have liked to change about this session?,"In the team that you came to this program with, how well are you and your colleagues following norms? - Take an inquiry stance","In the team that you came to this program with, how well are you and your colleagues following norms? - Ground statements in evidence","In the team that you came to this program with, how well are you and your colleagues following norms? - Assume positive intentions and take responsibility for impact","In the team that you came to this program with, how well are you and your colleagues following norms? - Stick to protocol and hear all voices","In the team that you came to this program with, how well are you and your colleagues following norms? - Start and end on time","In the team that you came to this program with, how well are you and your colleagues following norms? - Be here now","In your role-alike case group, how well are you and your colleagues following norms? - Take an inquiry stance","In your role-alike case group, how well are you and your colleagues following norms? - Ground statements in evidence","In your role-alike case group, how well are you and your colleagues following norms? - Assume positive intentions and take responsibility for impact","In your role-alike case group, how well are you and your colleagues following norms? - Stick to protocol and hear all voices","In your role-alike case group, how well are you and your colleagues following norms? - Start and end on time","In your role-alike case group, how well are you and your colleagues following norms? - Be here now","Please indicate the extent to which you agree with this statement:
Today's sessions helped me articulate how and why equity is central to the work of school improvement.","Please indicate the extent to which you agree with this statement:

Today's sessions helped me build skills to use Data Wise tools to foster equitable practices."
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_5""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_3""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_6""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID31_4""}","{""ImportId"":""QID31_5""}","{""ImportId"":""QID31_6""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID32_5""}","{""ImportId"":""QID32_6""}","{""ImportId"":""QID55""}","{""ImportId"":""QID51""}"
2019-01-22 05:27:29,2019-01-22 05:28:45,IP Address,60.241.29.66,100,75,True,2019-01-22 05:28:45,R_ewHfBKnEVI9TXIR,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Somewhat Agree,Somewhat Agree
2019-01-22 05:28:58,2019-01-22 05:31:04,IP Address,60.241.29.66,100,126,True,2019-01-22 05:31:05,R_3dJJhF8b78SUKjy,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,"Moderately
Satisfied","Moderately
Satisfied",,,I found the video to be somewhat helpful,"Moderately
Satisfied","Moderately
Satisfied",,,"Moderately
Satisfied",,,,,,,"Moderately
Satisfied","Moderately
Satisfied",,,"Moderately
Satisfied","Moderately
Satisfied",,,,,,,Very Well,,,Very Well,Very Well,Very Well,Very Well,Somewhat,Very Well,Very Well,Very Well,Very Well,Somewhat Agree,Somewhat Agree
2019-01-22 05:27:02,2019-01-22 05:32:49,IP Address,202.45.119.143,100,346,True,2019-01-22 05:32:50,R_1liX1OLjVkyoIQp,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Moderately
Satisfied","Moderately
Satisfied",,,I found the video to be somewhat helpful,"Completely
Satisfied","Completely
Satisfied","The opportunity to work within the blue team was useful, balance between chalk and talk and team work opportunities was good. ",,"Completely
Satisfied","Giving the team to all develop some consistency around the language associated with data literacy- within our team in the past one person has help the knowledge around the data. ",,,,,,"Completely
Satisfied","Completely
Satisfied","Really enjoyed the 'create a story' team working with blue team members. ","It was really difficult to view other team's work, we were only able to move a couple of metres as there were so many people in the lane...","Moderately
Satisfied","Moderately
Satisfied",Great opportunity to work as a team to build the overview - building capacity of the team as a whole,"we had issues accessing the data we needed- we changed from our initial set discussed in green time this morning. ",,,,,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Neutral,Somewhat Agree
2019-01-22 05:27:00,2019-01-22 05:34:34,IP Address,202.45.119.143,100,453,True,2019-01-22 05:34:34,R_2tDvot1enEeNY5K,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Moderately
Satisfied","Moderately
Satisfied",,,I found the video to be somewhat helpful,"Completely
Satisfied","Completely
Satisfied",it was good that there were some practical elements,the room wasn't great but i am sure that is beyond your control,"Moderately
Satisfied","the opportunity to look at a variety of data and think about what teachers might struggle with ",,,,,,"Completely
Satisfied","Completely
Satisfied",Hearing the types of data sets and then using this knowledge to create a story and a headline. Using the i wonder and i noticed protocol was a great way to begin tuning into the data . i will use this at home.,,"Completely
Satisfied","Completely
Satisfied",,,,,,,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Somewhat Agree,Somewhat Agree
2019-01-22 05:51:59,2019-01-22 05:56:51,IP Address,60.241.29.66,100,291,True,2019-01-22 05:56:51,R_PZrn2Q7FyLagbF7,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",Addressed our immediate concerns,,I found the video to be somewhat helpful,"Completely
Satisfied","Completely
Satisfied",Well paced,,"Completely
Satisfied",Stuck to norms,,,,,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,Very Well,Very Well,Somewhat,Somewhat,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Strongly Agree,Strongly Agree
2019-01-22 05:56:48,2019-01-22 05:57:47,IP Address,202.45.119.143,100,59,True,2019-01-22 05:57:48,R_29v8L1zF1gfQZHU,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied",,,,I found the video to be very helpful,"Completely
Satisfied",,,,"Completely
Satisfied",,,,,,,"Completely
Satisfied",,,,"Completely
Satisfied",,,,,,,,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Strongly Agree,Strongly Agree
2019-01-22 05:56:13,2019-01-22 05:57:54,IP Address,60.241.29.66,100,101,True,2019-01-22 05:57:55,R_3HCGGKE7lfYNeDC,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",,,I found the video to be very helpful,"Completely
Satisfied","Completely
Satisfied",,A lot of content/tasks squeezed into the allocated time.  Perhaps we could have had more time or fewer tasks,"Completely
Satisfied",,,,,,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Strongly Agree,Strongly Agree
2019-01-22 05:56:56,2019-01-22 05:58:21,IP Address,60.241.29.66,100,84,True,2019-01-22 05:58:21,R_2wsNcxPREqdQPda,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,"Moderately
Satisfied","Moderately
Satisfied",,,I found the video to be very helpful,"Moderately
Satisfied","Moderately
Satisfied",,,"Moderately
Satisfied",,,,,,,"Moderately
Satisfied","Completely
Satisfied",,,"Moderately
Satisfied","Moderately
Satisfied",,,,,,,Very Well,Somewhat,Somewhat,Very Well,Very Well,Not Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Strongly Agree,Strongly Agree
