StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q5_1,Q5_2,Q6,Q7,Q8_1,Q8_2,Q9,Q10,Q11_1,Q12,Q13,Q14_1,Q15,Q16,Q17,Q18_1,Q18_2,Q19,Q20,Q21_1,Q21_2,Q22,Q23,Q24_1,Q25,Q26,Q27_1,Q27_2,Q28,Q29,Q31,Q32,Q33,Q34
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,1. What is your role?,2. What kind of team are you on?,"[Faculty Session] Big Picture and Spiral Review (Penny Jayne & David Rease, Jr.)

In this session, we reviewed the feedback from yesterday and then turned our attention to norms.  This involved learning about Tuckman's Stages of Development, reviewing norms data from the survey, and then engaging in Dyadic Listening around norms. - Importance of Topic","[Faculty Session] Big Picture and Spiral Review (Penny Jayne & David Rease, Jr.)

In this session, we reviewed the feedback from yesterday and then turned our attention to norms.  This involved learning about Tuckman's Stages of Development, reviewing norms data from the survey, and then engaging in Dyadic Listening around norms. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,"[Faculty Session] Discussing a Data Overview (Kathryn Boudett & Jorge Peña)In this session, we reviewed what a data overview meeting (based on the Windermere data we looked at yesterday) might look like and participated in the Question Formulation Technique and the Hot Dots to select  a priority question.  We then reflected on what we noticed and wondered about this particular meeting, and the implications for how we want to run our own data overview meetings in the future. - Importance of Topic","[Faculty Session] Discussing a Data Overview (Kathryn Boudett & Jorge Peña)In this session, we reviewed what a data overview meeting (based on the Windermere data we looked at yesterday) might look like and participated in the Question Formulation Technique and the Hot Dots to select  a priority question.  We then reflected on what we noticed and wondered about this particular meeting, and the implications for how we want to run our own data overview meetings in the future. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,"[Team Session] Discussing a Data Overview (Team Time)

In this morning team session, the objectives were to: 


	Check in about our norms
	Apply principles of responsible data use to help our faculty discuss our data charts
	Determine when we will be discussing our data overview and with whom
	Plan our data overview meeting - Quality of Collaboration",What worked well about this session?,What would you have liked to change about this session?,"[Team Session] Strategic Planning and Coherence II (Team Time) 

In this session, we checked in about our norms and analyzed the forces working for and against using Data Wise to bring coherence to our system. - Quality of Collaboration",What worked well about this session?,What would you have liked to change about this session?,Which Step 4 case did you participate in? (Elementary=Primary School),"[Case Session] Step 4 Elementary School Case (Donna Drakeford and Pei Pei Liu)

In this session we looked at student work and practiced identifying a learner-centered problem. - Importance of Topic","[Case Session] Step 4 Elementary School Case (Donna Drakeford and Pei Pei Liu)

In this session we looked at student work and practiced identifying a learner-centered problem. - Quality of Instruction",What worked well about this Case Discussion? (Elementary),What would you have liked to change about this Case Discussion? (Elementary),"[Case Session] Step 4 High School Case (Meghan Lockwood & Michele Shannon)
In this session we looked at student work and practiced identifying a learner-centered problem. - Importance of Topic","[Case Session] Step 4 High School Case (Meghan Lockwood & Michele Shannon)
In this session we looked at student work and practiced identifying a learner-centered problem. - Quality of Instruction",What worked well about this Case Discussion?,What would you have liked to change about this Case Discussion?,"[Team Session] Making Instructional Change (Team Time)

In this afternoon team meeting, the objectives were to:


 Analyze the forces supporting and resisting using Data Wise to meaningfully improve instruction in our school
 Decide on a process for finishing any remaining Data Overview charts - Quality of Collaboration",What worked well about this session?,What would you have liked to change about this session?,"[Case Session] System Case (Team Time)

In this session, Prince George’s County leaders discussed how they support schools with Data Wise. - Importance of Topic","[Case Session] System Case (Team Time)

In this session, Prince George’s County leaders discussed how they support schools with Data Wise. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,Today's sessions helped me articulate how and why equity is central to the work of school improvement.,Today's sessions helped me build skills to use Data Wise tools to foster equitable practices.,"Here is your chance to make your voice heard to system leaders: 

What should system leaders do (or stop doing!) to support your school in using data wisely?  
What do you need from the system to be successful in your schools?",What are some concrete things you could do in your role as a system leader to support schools in using data wisely?
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID63_2""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID65_TEXT""}","{""ImportId"":""QID66_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID70_6""}","{""ImportId"":""QID70_8""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID72_TEXT""}","{""ImportId"":""QID83""}","{""ImportId"":""QID82""}","{""ImportId"":""QID87_TEXT""}","{""ImportId"":""QID88_TEXT""}"
2019-01-22 05:44:48,2019-01-22 05:47:49,IP Address,1.152.105.33,100,181,True,2019-01-22 05:47:50,R_1DtBJCVYhrb3VnI,,,,,-37.716705322265625,145,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied","Highlighting the 'why'
",Nothing,"Completely
Satisfied","Moderately
Satisfied","Great content, purposeful tasks",The session had a lot of tasks/content to cover in the allocated time.  Perhaps consider allowing more time for this session,"Completely
Satisfied",,,,,,Elementary Case,"Completely
Satisfied",,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,,
2019-01-22 05:43:16,2019-01-22 05:50:19,IP Address,202.45.119.143,100,423,True,2019-01-22 05:50:20,R_3ezsghZBniBDx9T,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied","Acknowledging and following up with challenges.
Discussing adaptive and technical challenges.
Having time to reflect on our own context and discuss with our partners. ",Potentially having a Q & A session with school that have started the Data Wise process,,,,,"Completely
Satisfied","Having the time to work together ",,,,,,,,,,,,,,,,,,,,,Strongly Agree,Strongly Agree,,
2019-01-22 05:47:53,2019-01-22 05:51:40,IP Address,60.241.29.66,100,226,True,2019-01-22 05:51:40,R_vw9lWT5hzwitDhL,,,,,-37.8000030517578125,145.283294677734375,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied","examples ",,"Completely
Satisfied","Completely
Satisfied","good activity ",,"Completely
Satisfied","chance to share ideas ",,,,,High School Case,,,,,"Completely
Satisfied","Completely
Satisfied",,,,,,,,,,Strongly Agree,Strongly Agree,,
2019-01-22 05:51:57,2019-01-22 05:53:18,IP Address,202.45.119.143,100,80,True,2019-01-22 05:53:18,R_12RuOLf346rsake,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,Neutral,"Moderately
Satisfied",,,"Moderately
Satisfied","Moderately
Satisfied",,,"Moderately
Satisfied",,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Moderately
Satisfied",,,,,,,Somewhat Agree,Strongly Agree,,
2019-01-22 05:47:07,2019-01-22 05:53:29,IP Address,202.45.119.143,100,382,True,2019-01-22 05:53:29,R_3EAxgebXuKfUgsS,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied",Found we got a huge amount out of this session.,,,,,High School Case,,,,,"Completely
Satisfied","Completely
Satisfied",,,,,,,,,,Strongly Agree,Strongly Agree,,
2019-01-22 05:51:48,2019-01-22 05:55:02,IP Address,202.45.119.143,100,193,True,2019-01-22 05:55:03,R_2QAmqfrNxEbmD93,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Moderately
Satisfied","Moderately
Satisfied",It was informative,nothing,"Moderately
Satisfied","Moderately
Satisfied",group activities,all good,"Completely
Satisfied",It was all excellent,nothing,,,,Elementary Case,"Moderately
Satisfied","Moderately
Satisfied",all good,all good,,,,,"Completely
Satisfied",,,,,,,Strongly Agree,Somewhat Agree,,
2019-01-22 05:52:06,2019-01-22 05:55:08,IP Address,202.45.119.143,100,182,True,2019-01-22 05:55:09,R_zYVCuO4ddq2BGGl,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied",,,,"Completely
Satisfied",,,,"Completely
Satisfied",,,,,,Elementary Case,"Completely
Satisfied",,,,,,,,"Completely
Satisfied",,,,,,,Strongly Agree,Strongly Agree,,
2019-01-22 05:51:53,2019-01-22 05:55:15,IP Address,202.45.119.143,100,201,True,2019-01-22 05:55:15,R_Y3rAg2S4GQop3LX,,,,,-37.813995361328125,144.963287353515625,anonymous,EN,Participant,School Team,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied",,Really would have liked more time to work on this,,,,Elementary Case,,,,,,,,,,,,,,,,,,,
