StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4_1,Q4_2,Q5,Q6,Q7_1,Q7_2,Q8,Q9,Q10_1,Q10_2,Q11,Q12,Q13_1,Q14,Q15,Q16_1,Q16_2,Q18,Q27,Q20,Q21
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"[Faculty Session] Setting the Context & The Purpose of Data Wise (Jorge Peña and Rob Wessman)In this session, we got an overview to the Data Wise process and discussed norms and The Why. - Importance of Topic","[Faculty Session] Setting the Context & The Purpose of Data Wise (Jorge Peña and Rob Wessman)In this session, we got an overview to the Data Wise process and discussed norms and The Why. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,"[Faculty Session] Continuous Improvement Cycles (Rob Wessman) In this session, we reviewed the sample case of a school that has gone through the Data Wise process and learned about the Data Wise Throughline - Importance of Topic","[Faculty Session] Continuous Improvement Cycles (Rob Wessman) In this session, we reviewed the sample case of a school that has gone through the Data Wise process and learned about the Data Wise Throughline - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,"[Faculty Session] Step 1: Organizing for Collaborative Work (Donna Drakeford)In this session, we discussed the key tasks in Step One of the Data Wise Improvement Process. - Importance of Topic","[Faculty Session] Step 1: Organizing for Collaborative Work (Donna Drakeford)In this session, we discussed the key tasks in Step One of the Data Wise Improvement Process. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,"[Team Session] Organizing for Collaborative Work (Team Time)

In this session we created our team rolling agenda and ""played along"" with using Meeting Wise practices. - Value of Session",What worked well about this session?,What would you have liked to change about this session?,"[Faculty Session] Step 2: Building Assessment Literacy (Matt Presser)In this session, we discussed how assessments shine a light
on student skills and knowledge and we practiced applying responsible
assessment literacy practices in a variety of examples. - Importance of Topic","[Faculty Session] Step 2: Building Assessment Literacy (Matt Presser)In this session, we discussed how assessments shine a light
on student skills and knowledge and we practiced applying responsible
assessment literacy practices in a variety of examples. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,"Today's sessions helped me articulate how and why equity is central to the work of
school improvement.",Today's sessions helped me build understanding and skills to use Data Wise tools to foster equitable practices at each step of the improvement process.
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID51_2""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID65""}"
2018-12-03 20:01:54,2018-12-03 20:03:02,IP Address,50.247.240.113,100,68,True,2018-12-03 20:03:03,R_6EAqo4C0IyKwshP,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Neutral,Neutral,,,Neutral,Neutral,,,Neutral,Neutral,,,Neutral,,,Neutral,Neutral,,,Neutral,Neutral
2018-12-03 20:02:12,2018-12-03 20:03:17,IP Address,50.247.240.113,100,65,True,2018-12-03 20:03:18,R_3Ptv44oR2rMLZXQ,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,Discussion and presentation,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Strongly Agree,Strongly Agree
2018-12-03 20:01:58,2018-12-03 20:03:39,IP Address,50.247.240.113,100,101,True,2018-12-03 20:03:49,R_3pstgcbnp4p3MfB,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Moderately Satisfied,Neutral,,,Moderately Satisfied,Neutral,,,Moderately Satisfied,Neutral,,,Moderately Satisfied,Working with people from my school,,Moderately Satisfied,Moderately Satisfied,,,Somewhat Agree,Somewhat Agree
2018-12-03 20:02:22,2018-12-03 20:03:53,IP Address,50.247.240.113,100,91,True,2018-12-03 20:03:54,R_2SBTkxixESLNyAG,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,The working time,Less down time and more working sessions and the ability to work with a data wise coach,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Strongly Agree,Somewhat Agree
2018-12-03 20:01:49,2018-12-03 20:04:26,IP Address,50.247.240.113,100,157,True,2018-12-03 20:04:26,R_RfXrwHZhixiARjj,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,,n/a,Moderately Satisfied,Completely Satisfied,,,Moderately Satisfied,Completely Satisfied,The time for teams to work through the step process right after learning about it,,Completely Satisfied,"The time for teams to work through the step process right after learning about it, the ability to see how the team works together and what are next steps at our school",,Moderately Satisfied,Completely Satisfied,Practicing with data not tied to our schools,,Strongly Agree,Somewhat Agree
2018-12-03 20:02:53,2018-12-03 20:04:28,IP Address,50.247.240.113,100,94,True,2018-12-03 20:04:28,R_1C9revBpXHZm2LE,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,When it was not lecture but example and sharing,Less lecture time and more tangential explanation around the work,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Somewhat Agree,Somewhat Agree
2018-12-03 20:03:17,2018-12-03 20:04:40,IP Address,97.46.65.139,100,82,True,2018-12-03 20:04:40,R_5mu35meUTjSBC93,,,,,40.7104034423828125,-74.21109771728515625,anonymous,EN,Moderately Satisfied,Moderately Satisfied,Great materials,Differentiated for those that are not beginners,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,,
2018-12-03 20:01:51,2018-12-03 20:04:40,IP Address,107.77.224.156,100,168,True,2018-12-03 20:04:40,R_3FOH3KvQXgmsHhk,,,,,40.82220458984375,-73.92169952392578125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,"Time to talk about each step in the data wise process ",Working with other schools may. E belpful,Moderately Satisfied,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,,,Moderately Satisfied,"Team got to model a meeting that could be used at school ","Nothing ",Moderately Satisfied,Moderately Satisfied,"Talking about different factors that affect data ","Use actual data that was easier to read ",Strongly Agree,Strongly Agree
