StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4_1,Q4_2,Q5,Q6,Q7_1,Q7_2,Q8,Q9,Q10_1,Q10_2,Q11,Q12,Q13_1,Q14,Q15,Q16_1,Q16_2,Q17,Q18,Q20,Q21
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your role?,[Faculty Session] Setting the Context & The Purpose of Data Wise (Jorge Peña and Kim Frumin) - Importance of Topic,[Faculty Session] Setting the Context & The Purpose of Data Wise (Jorge Peña and Kim Frumin) - Quality of Instruction,What worked well about this session?,What would you have liked to change about this session?,[Faculty Session] Continuous Improvement Cycles (Jorge Peña) - Importance of Topic,[Faculty Session] Continuous Improvement Cycles (Jorge Peña) - Quality of Instruction,What worked well about this session?,What would you have liked to change about this session?,"[Faculty Session] Step 1: Organizing for Collaborative Work (Donna Drakeford)In this session, we set norms, did the equity reflection protocol, and reviewed the schedule for the week. - Importance of Topic","[Faculty Session] Step 1: Organizing for Collaborative Work (Donna Drakeford)In this session, we set norms, did the equity reflection protocol, and reviewed the schedule for the week. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,"[Team Session] Organizing for Collaborative Work (Team Time)

In this session we created our team rolling agenda and ""played along"" with using Meeting Wise practices. - Value of Session",What worked well about this session?,What would you have liked to change about this session?,"[Faculty Session] Step 2: Building Assessment Literacy (Max Yurkofsky)In this session, we discussed how assessments shine a light
on student skills and knowledge and we practiced applying responsible
assessment literacy practices in a variety of examples. - Importance of Topic","[Faculty Session] Step 2: Building Assessment Literacy (Max Yurkofsky)In this session, we discussed how assessments shine a light
on student skills and knowledge and we practiced applying responsible
assessment literacy practices in a variety of examples. - Quality of Instruction",What would you have liked to change about this session?,What worked well about this session?,"Today's sessions helped me articulate how and why equity is central to the work of
school improvement.",Today's sessions helped me build understanding and skills to use Data Wise tools to foster equitable practices at each step of the improvement process.
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID51_2""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID65""}"
2018-12-06 19:58:25,2018-12-06 20:01:34,IP Address,137.49.156.142,100,189,True,2018-12-06 20:01:34,R_OJN3kYBct8GqhcB,,,,,41.7899932861328125,-72.745697021484375,anonymous,EN,Practitioner,Completely Satisfied,Completely Satisfied,"Organization, supplemental activities, and resources ",,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Strongly Agree,Somewhat Agree
2018-12-06 19:56:39,2018-12-06 20:02:48,IP Address,137.49.64.41,100,368,True,2018-12-06 20:02:48,R_28J2HPWs8wYurxT,,,,,41.7899932861328125,-72.745697021484375,anonymous,EN,Teaching Fellow,Moderately Satisfied,Neutral,"The flow and pace of the day.  ","Less fluff (like the North, South activity) and more learning with application time.",Moderately Satisfied,Moderately Satisfied,,,,,,"The activity (North, South)",Completely Satisfied,Having the chance to plan together was the best part of the day.,More opportunities to apply learning throughout the day like this one.,Moderately Satisfied,Moderately Satisfied,,,Somewhat Agree,Somewhat Agree
2018-12-06 20:06:05,2018-12-06 20:07:01,IP Address,137.49.64.201,100,56,True,2018-12-06 20:07:02,R_1n2T0kqapsaLCLa,,,,,41.7899932861328125,-72.745697021484375,anonymous,EN,Practitioner,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Strongly Agree,Strongly Agree
2018-12-06 20:04:36,2018-12-06 20:07:09,IP Address,137.49.182.170,100,153,True,2018-12-06 20:07:09,R_2ayLgbQX5yQRCNR,,,,,41.7899932861328125,-72.745697021484375,anonymous,EN,Practitioner,Completely Satisfied,Completely Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Completely Satisfied,clear expectations and models,,Moderately Satisfied,Moderately Satisfied,,,Strongly Agree,Strongly Agree
2018-12-06 19:59:31,2018-12-06 20:07:10,IP Address,137.49.131.14,100,459,True,2018-12-06 20:07:10,R_oZydnd4xskqNM6l,,,,,41.7899932861328125,-72.745697021484375,anonymous,EN,Practitioner,Neutral,Neutral,Transitions,More modeling and direction,Neutral,Neutral,Transitions,More modeling,Neutral,Neutral,Transitions,More modeling,Neutral,Transitions,More modeling,Neutral,Neutral,More modeling,Transitions,Neutral,Neutral
2018-12-06 20:06:28,2018-12-06 20:07:29,IP Address,174.199.2.158,100,61,True,2018-12-06 20:07:30,R_cSmSrYChnz2PTtn,,,,,41.5381927490234375,-72.80699920654296875,anonymous,EN,Practitioner,Moderately Satisfied,,,,Moderately Satisfied,,,,Moderately Satisfied,,,,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Somewhat Agree,Somewhat Agree
2018-12-06 20:06:04,2018-12-06 20:07:32,IP Address,137.49.140.212,100,88,True,2018-12-06 20:07:33,R_1Kjpx6uWnxpKPOb,,,,,41.7899932861328125,-72.745697021484375,anonymous,EN,Practitioner,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Strongly Agree,Somewhat Agree
2018-12-06 20:05:56,2018-12-06 20:07:43,IP Address,174.199.20.127,100,106,True,2018-12-06 20:07:43,R_23WusPRnq1bBFMM,,,,,41.5381927490234375,-72.80699920654296875,anonymous,EN,Practitioner,Moderately Satisfied,Moderately Satisfied,"Working sessions ","Nothing ",Moderately Satisfied,Moderately Satisfied,Talking about where we are as a school at the two steps,Nothing,Completely Satisfied,Completely Satisfied,,,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Strongly Agree,Strongly Agree
