StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4_1,Q4_2,Q5,Q6,Q7_1,Q7_2,Q8,Q9,Q10_1,Q11,Q12,Q13_1,Q13_2,Q14,Q15,Q16_1,Q18,Q17,Q20,Q21,Q30,Q31,Q32
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"[Faculty Session] Constructivist Dyads, Spiral Review, and Adaptive and Technical Challenges (Jorge Peña and Rob Wessman) - Importance of Topic","[Faculty Session] Constructivist Dyads, Spiral Review, and Adaptive and Technical Challenges (Jorge Peña and Rob Wessman) - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,[Faculty Session] Step 3: Data Overviews and Focus Areas (Matt Presser) - Importance of Topic,[Faculty Session] Step 3: Data Overviews and Focus Areas (Matt Presser) - Quality of Instruction,What worked well about this session?,What would you have liked to change about this session?,[Team Session] Focus Areas and Data Literacy (Team Time) - Value of Session,What worked well about this session?,What would you have liked to change about this session?,[Faculty Session] Step 4: Digging Into Student Data (Donna Drakeford) - Importance of Topic,[Faculty Session] Step 4: Digging Into Student Data (Donna Drakeford) - Quality of Instruction,What worked well about this session?,What would you have liked to change about this session?,[Team Session] Planning and Preparation (Team Time) - Value of Session,What worked well about this session?,What would you have liked to change about this session?,We have a big-picture plan to move forward Steps 1 through 4 at our school.,"As you think ahead to your first coaching session, what do you imagine you might want to get support on?","Which ACE habit has been a strength for you personally over these two days? 
*Remember, the ACE habits of mind are A (Shared Commitment to Action, Assessment, and Adjustment), C (Intentional Collaboration), and E (Relentless Focus on Evidence).",Which ACE habit do you anticipate needing support on as a team? Why?,Any other comments
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID51_2""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID65_TEXT""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID76_TEXT""}"
2018-12-04 20:09:12,2018-12-04 20:14:01,IP Address,50.247.240.113,100,288,True,2018-12-04 20:14:01,R_2WYyjq3ix97cWOb,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Moderately Satisfied,Completely Satisfied,,,Moderately Satisfied,,,Moderately Satisfied,Completely Satisfied,,,Moderately Satisfied,,,Somewhat Agree,how to make it work with our teams in our schools?,Intentional Collaboration,adjustment,"Im confused about what our role is as the trained members within our school setting. "
2018-12-04 20:14:29,2018-12-04 20:15:55,IP Address,50.247.240.113,100,86,True,2018-12-04 20:15:55,R_1QhWtJeWwRhj8bx,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,Hands on team work,nothing,Completely Satisfied,Completely Satisfied,Tme to work in teams,noting,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Just time to implement and plan,,STicking to protocol/norms,
2018-12-04 20:14:30,2018-12-04 20:15:59,IP Address,50.247.240.113,100,89,True,2018-12-04 20:16:00,R_zeerlq7WLjuc1Lr,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,,,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Somewhat Agree,,,,
2018-12-04 20:14:56,2018-12-04 20:16:20,IP Address,50.247.240.113,100,84,True,2018-12-04 20:16:20,R_2s70jGmQdHohblB,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,,,,
2018-12-04 20:09:09,2018-12-04 20:16:54,IP Address,50.247.240.113,100,464,True,2018-12-04 20:16:54,R_1PTTm8EQdKw99dN,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,I liked the idea of focusing on listening and supporting your partner.,nothing,Moderately Satisfied,Moderately Satisfied,Introduction to the work and thinking about and narrowing down the focus areas.,nothing,Moderately Satisfied,Discussion of different types of assessments.,,Moderately Satisfied,Moderately Satisfied,Using student work samples.,"Seemed a bit scattered, lots going on.",Completely Satisfied,working with my team,,Somewhat Agree,"Processing the ""after"" of the meeting, possible responses for staff members who may not be on board.",,,
2018-12-04 20:15:19,2018-12-04 20:17:08,IP Address,50.247.240.113,100,108,True,2018-12-04 20:17:08,R_6YwjyvklH1hcAgx,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Somewhat Agree,How to best share this information with our school,International Collaboration,Evidence - it's new to many of our staff,
2018-12-04 20:15:17,2018-12-04 20:17:13,IP Address,50.247.240.113,100,115,True,2018-12-04 20:17:14,R_2Y6aLjMk4sjNeB2,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Having time to work with the team was great,If we had district level support working with us to help us better understand the districts expectations,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,better guidance from central office about expectations,Somewhat Agree,,,,
2018-12-04 20:14:53,2018-12-04 20:17:14,IP Address,50.247.240.113,100,141,True,2018-12-04 20:17:15,R_3oGxIU3Q5odFkz0,,,,,42.36419677734375,-71.02570343017578125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Somewhat Agree,"how to show concrete examples of the process in a school settign in order to get more teacher buy in ","shared commitment to action and intentional collaboration ","relentless focus on evidence ","thank you so much for your time, support, and energy"
