StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q5_1,Q6,Q7,Q8,Q9_1,Q9_2,Q10,Q11,Q12_1,Q12_2,Q13,Q14,Q15_1,Q16,Q17,Q18_1,Q19,Q20,Q22,Q23,Q26,Q27,Q28,Q29,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_5_TEXT,Q33,Q34,Q36_1,Q36_2,Q36_3,Q36_4,Q37,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q39,Q40,Q41,Q42,Q44,Q45,Q46_3,Q46_4,Q47
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your role?,"What kind of team are you on?

Degree-program students, choose ""School team.""",[Team Session] Friday Morning Project Meeting (Project Team) - Quality of Collaboration,What worked well about this session?,What would you have liked to change about this session?,What would you have liked to change about this session?,"[Faculty Session] Spiral Review (Candice Bocala & Kathy Boudett)
In this session we reviewed feedback from the previous day, heard from a teacher and principal about what Step 5 can look like in practice, and previewed the schedule for today. - Importance of Topic","[Faculty Session] Spiral Review (Candice Bocala & Kathy Boudett)
In this session we reviewed feedback from the previous day, heard from a teacher and principal about what Step 5 can look like in practice, and previewed the schedule for today. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,"[Faculty Session] Step 7 and 8 Case (Candice Bocala & Kathy Boudett)  

In this session we reviewed some evidence from Step 7 and 8 of the Northaven Elementary School case. - Importance of Topic","[Faculty Session] Step 7 and 8 Case (Candice Bocala & Kathy Boudett)  

In this session we reviewed some evidence from Step 7 and 8 of the Northaven Elementary School case. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,"[Faculty Session] Reflection and Q&A (Teaching Team)In this session we did a Dyadic Listening Protocol to reflect and generate questions, then had a Q&A session with the teaching team. - Quality of Collaboration",What worked well about this session?,What would you have liked to change about this session?,[Team Session] Cross Team Consultancies (Project Teams)In this session we used the Consultancy Protocol to explore dilemmas encountered by project teams. - Quality of Collaboration,What worked well about this session?,What would you have liked to change about this session?,"Today's sessions helped me articulate how and why equity is central to the work of
school improvement.",Today's sessions helped me build skills to use Data Wise tools to foster equitable practices.,How would you rate the overall quality of this program?,To what extent did you find this program professionally useful?,"How much do you intend to modify your professional practice, based on your experience in this program?","On a scale of 0 to 10, how likely is it that you would recommend this program to a friend or colleague?","Below are the learning objectives for this program. Please indicate the extent to which you agree that this program supported you in meeting them. - Demonstrate a relentless focus on evidence when collaboratively analyzing a wide range of data sources, including annual standardized tests, periodic formative assessments, daily class work, and observation of classroom practice",Below are the learning objectives for this program. Please indicate the extent to which you agree that this program supported you in meeting them. - Articulate how and why equity is central to the work of school improvement,Below are the learning objectives for this program. Please indicate the extent to which you agree that this program supported you in meeting them. - Build understanding and skills to use Data Wise tools to foster equitable practices,Below are the learning objectives for this program. Please indicate the extent to which you agree that this program supported you in meeting them. - Create a plan for integrating the Data Wise Improvement Process and ACE Habits of Mind into the core work of a school or system.,Below are the learning objectives for this program. Please indicate the extent to which you agree that this program supported you in meeting them. - Engage in intentional collaboration by using a Meeting Wise “rolling agenda” and practicing wise meeting facilitation and participation,Which instructional styles did you find most effective? Please check all that apply. - Selected Choice - Lectures from Faculty,Which instructional styles did you find most effective? Please check all that apply. - Selected Choice - Case Discussions,Which instructional styles did you find most effective? Please check all that apply. - Selected Choice - Working with your Project Team,Which instructional styles did you find most effective? Please check all that apply. - Selected Choice - Learning with Practitioners,Which instructional styles did you find most effective? Please check all that apply. - Selected Choice - Other:,Which instructional styles did you find most effective? Please check all that apply. - Other: - Text,"How satisfied were you with the diversity of the course's learning community, inclusive of racial, ethnic, professional, personal, regional, institution type, and other perspectives and backgrounds?",How might we improve in supporting a diverse learning community?,Please evaluate your satisfaction with the following support activities you received prior to the beginning of the program. - Admissions/course enrollment process,Please evaluate your satisfaction with the following support activities you received prior to the beginning of the program. - Quality of pre-course information,Please evaluate your satisfaction with the following support activities you received prior to the beginning of the program. - Accessibility of course website,Please evaluate your satisfaction with the following support activities you received prior to the beginning of the program. - Overall pre-course experience,Please provide any comments or improvement suggestions related to the support experience prior to the beginning of the program.,Please evaluate your satisfaction with the following support activities during the program. - Support from staff,Please evaluate your satisfaction with the following support activities during the program. - Availability of logistical information,Please evaluate your satisfaction with the following support activities during the program. - Usability of digital/program website materials,Please evaluate your satisfaction with the following support activities during the program. - Learning environment,Please evaluate your satisfaction with the following support activities during the program. - Overall service experience,Please indicate your level of satisfaction with the primary classroom space used during your program:,Please provide any comments or improvement suggestions related to the primary classroom space or other spaces used during the course.,Would your learning experience in this course have been better supported through use of a different classroom space configuration?,Please provide any comments or improvement suggestions related to your service experience.,"What is the best time of year for us to be in contact with you to let you know about program offerings – such as the Data Wise Leadership Institute and the Data Wise in Action Program – so that you, your school, and your district can best plan for and determine budget allocations to participate in this kind of professional development?",Would you be willing to provide a brief quote to be used in future promotional materials?,Please provide your name and email address in the box below: - Name,Please provide your name and email address in the box below: - Email Address,Please use the space below to share your testimonial:
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID94""}","{""ImportId"":""QID115""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID88_TEXT""}","{""ImportId"":""QID89_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID90_2""}","{""ImportId"":""QID91_TEXT""}","{""ImportId"":""QID92_TEXT""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID84_2""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID86_TEXT""}","{""ImportId"":""QID116_2""}","{""ImportId"":""QID82_TEXT""}","{""ImportId"":""QID118_TEXT""}","{""ImportId"":""QID81_2""}","{""ImportId"":""QID117_TEXT""}","{""ImportId"":""QID83_TEXT""}","{""ImportId"":""QID109""}","{""ImportId"":""QID111""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID113""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID53_2""}","{""ImportId"":""QID53_5""}","{""ImportId"":""QID53_4""}","{""ImportId"":""QID53_3""}","{""ImportId"":""QID56"",""choiceId"":""1""}","{""ImportId"":""QID56"",""choiceId"":""2""}","{""ImportId"":""QID56"",""choiceId"":""3""}","{""ImportId"":""QID56"",""choiceId"":""4""}","{""ImportId"":""QID56"",""choiceId"":""5""}","{""ImportId"":""QID56_5_TEXT""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID62_2""}","{""ImportId"":""QID62_3""}","{""ImportId"":""QID62_4""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID65_2""}","{""ImportId"":""QID65_3""}","{""ImportId"":""QID65_4""}","{""ImportId"":""QID65_5""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67_TEXT""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID75""}","{""ImportId"":""QID101""}","{""ImportId"":""QID102_3""}","{""ImportId"":""QID102_4""}","{""ImportId"":""QID103_TEXT""}"
2019-01-11 18:54:14,2019-01-11 19:01:18,IP Address,67.134.206.43,100,423,True,2019-01-11 19:01:18,R_1Hd76vLLH7d4EY3,,,,,42.3769989013671875,-71.12560272216796875,anonymous,EN,Practitioner,School Team,Completely Satisfied,Time with team,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,seeing results,,Completely Satisfied,,,,Listening to others thoughts/questions,,Somewhat Agree,Somewhat Agree,Excellent,A Great Deal,A Great Deal,10    (Extremely Likely),Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,,Case Discussions,Working with your Project Team,,,,Completely Satisfied,,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,,Moderately Satisfied,Moderately Satisfied,Moderately Satisfied,Completely Satisfied,Moderately Satisfied,Completely Satisfied,,No,,April - June,No,,,
2019-01-11 17:42:23,2019-01-11 20:07:51,IP Address,67.134.206.46,100,8728,True,2019-01-11 20:07:51,R_2XmqvWG4O28XCZ5,,,,,42.3769989013671875,-71.12560272216796875,anonymous,EN,Practitioner,School Team,Completely Satisfied,We obtained very positive feedback from Andi.  She continued to use her inquiry approach to have us challenge and redirect some of our thoughts.,,,Completely Satisfied,Completely Satisfied,"By the end of this week, I can now say I find value in reviewing feedback and appreciate the team adjusting based upon this feedback.  ",,Moderately Satisfied,Moderately Satisfied,Recognize the constraints of time...would be wonderful if the Principal from this school could actually come and be part of this process.,,,,,,,,Somewhat Agree,Strongly Agree,Very Good,Quite A Bit,Quite A Bit,6,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Lectures from Faculty,Case Discussions,Working with your Project Team,Learning with Practitioners,,,Completely Satisfied,,Completely satisfied,Moderately satisfied,Moderately satisfied,Moderately satisfied,An earlier indication of the breadth and depth of the prework,Completely Satisfied,Moderately Satisfied,Moderately Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,,No,,July - September,No,,,
2019-01-11 20:03:50,2019-01-11 20:08:43,IP Address,67.134.206.43,100,293,True,2019-01-11 20:08:44,R_pcmFRbYVz2f02L7,,,,,42.3769989013671875,-71.12560272216796875,anonymous,EN,Practitioner,School Team,Completely Satisfied,We solved a lot of problems and worked collaboratively.,,,Neutral,Neutral,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,This was great. I appreciated the thoughtful feedback from my triad team!,,Completely Satisfied,,,Somewhat Agree,Somewhat Agree,Very Good,Quite A Bit,Moderately,8,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,,Case Discussions,Working with your Project Team,,,,Completely Satisfied,,Moderately dissatisfied,,Moderately satisfied,Moderately dissatisfied,We needed the materials sooner and it would have been helpful to have more time to gather the data we needed.,Completely Satisfied,Completely Satisfied,Neutral,Completely Satisfied,Moderately Satisfied,Completely Satisfied,,No,,July - September,No,,,
2019-01-11 19:01:57,2019-01-11 20:13:33,IP Address,67.134.206.42,100,4296,True,2019-01-11 20:13:33,R_3dWEgAQnvqPzDaz,,,,,42.3769989013671875,-71.12560272216796875,anonymous,EN,Practitioner,School Team,Completely Satisfied,The session went very well as we showed our slides to our TF and received feedback.  We also had an opportunity to reflect on some school wide data.,n/a,,Completely Satisfied,Completely Satisfied,The perspectives from the principal and the teacher from the same school.,n/a,Completely Satisfied,Completely Satisfied,The relentless focus on evidence.,n/a,,The time to receive feedback from others of similar and/or differing backgrounds on an important issue at our school,,Completely Satisfied,,,Strongly Agree,Strongly Agree,Excellent,A Great Deal,A Great Deal,10    (Extremely Likely),Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Case Discussions,Working with your Project Team,Learning with Practitioners,,,Completely Satisfied,,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,,No,,July - September,No,,,
2019-01-11 20:13:16,2019-01-11 20:17:56,IP Address,67.134.206.46,100,280,True,2019-01-11 20:17:56,R_28IAY42BBPjj9x0,,,,,42.3769989013671875,-71.12560272216796875,anonymous,EN,Practitioner,School Team,Completely Satisfied,,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,"Too long! ",Completely Satisfied,,,Neutral,Neutral,Very Good,Quite A Bit,A Great Deal,7,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Lectures from Faculty,,Working with your Project Team,Learning with Practitioners,,,Moderately Satisfied,,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,,Completely Satisfied,Completely Satisfied,Completely Dissatisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,,No,,April - June,No,,,
2019-01-11 20:17:45,2019-01-11 20:22:09,IP Address,67.134.206.39,100,263,True,2019-01-11 20:22:09,R_UoK8ghngHC5Krtf,,,,,42.3769989013671875,-71.12560272216796875,anonymous,EN,Practitioner,School Team,Completely Satisfied,,,,Completely Satisfied,Completely Satisfied,,,Moderately Dissatisfied,Moderately Dissatisfied,,"We didn't spend enough time here, it felt rushed.",Completely Satisfied,,,Neutral,,,Neutral,Neutral,Very Good,Quite A Bit,Quite A Bit,7,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,,,Working with your Project Team,,,,Moderately Satisfied,,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,,No,,July - September,No,,,
2019-01-11 20:09:08,2019-01-11 20:22:21,IP Address,67.134.206.42,100,793,True,2019-01-11 20:22:22,R_11aVSmwoMDl5Er3,,,,,42.3769989013671875,-71.12560272216796875,anonymous,EN,Practitioner,School Team,Completely Satisfied,"Collaboration with members.
Work produced.",,,Moderately Satisfied,,,,Moderately Satisfied,,,,Moderately Satisfied,,,Moderately Satisfied,,,Somewhat Agree,Somewhat Agree,Very Good,Quite A Bit,Quite A Bit,8,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,,Case Discussions,Working with your Project Team,,,,Completely Satisfied,,Neutral,Moderately satisfied,Moderately satisfied,Moderately satisfied,More time to complete pre-work.,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,Completely Satisfied,,No,,April - June,No,,,
2019-01-11 20:18:26,2019-01-11 20:27:48,IP Address,67.134.206.47,100,561,True,2019-01-11 20:27:48,R_3R257oQaWH4ZTFG,,,,,42.3769989013671875,-71.12560272216796875,anonymous,EN,Practitioner,School Team,Moderately Satisfied,time to meet as a district and time to finalize our plan to bring back to our school. We are feeling ready and cohesive.,We are not sure our District is completely aligned and this may make our work quite challenging.  We also didn't see/here from our Fellow much today.,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Completely Satisfied,This was helpful to hear other challenges and also be able to take some new strategies back.,,Completely Satisfied,,,Somewhat Agree,Somewhat Agree,Very Good,Quite A Bit,Quite A Bit,8,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Lectures from Faculty,,Working with your Project Team,Learning with Practitioners,,,Completely Satisfied,,Completely satisfied,Completely satisfied,Completely satisfied,Completely satisfied,Fewer steps to register/forms to fill out,Completely Satisfied,Completely Satisfied,Moderately Satisfied,Moderately Satisfied,Moderately Satisfied,Completely Satisfied,,Yes,"At times, despite there being so many screens to look at, if you were not seated at an exterior table, it was very difficult to read the full screen.  Access to slides on the computer would be helpful.",April - June,No,,,
