StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_1,Q3_2,Q4,Q5,Q6_1,Q7,Q8,Q9_1,Q9_2,Q10,Q11,Q12_1,Q13,Q14,Q16,Q17,Q18,Q19,Q20,Q21,Q23,Q24,Q25,Q27,Q28
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,[Faculty Session] Setting the Context (Monique Davis) - Importance of Topic,[Faculty Session] Setting the Context (Monique Davis) - Quality of Instruction,What worked well about this session?,What would you have liked to change about this session?,[Team Session] Focus Areas and Data Overviews (Team Time) - Value of Session,What worked well about this session?,What would you have liked to change about this session?,[Faculty Session] Step 4: Digging Into Student Data (Rob Wessman) - Importance of Topic,[Faculty Session] Step 4: Digging Into Student Data (Rob Wessman) - Quality of Instruction,What worked well about this session?,What would you have liked to change about this session?,[Team Session] Planning and Preparation (Team Time) - Value of Session,What worked well about this session?,What would you have liked to change about this session?,"Today's sessions helped me articulate how and why equity is central to the work of
school improvement.",We have a big-picture plan to move forward our School Improvement Plan.,"As you think ahead to the virtual coaching sessions over the next couple of months, what do you imagine you might want to get support on?","Which ACE habit has been a strength for you personally over these two days? 
*Remember, the ACE habits of mind are A (Shared Commitment to Action, Assessment, and Adjustment), C (Intentional Collaboration), and E (Relentless Focus on Evidence).",Which ACE habit do you anticipate needing support on as a team? Why?,Please provide any other overall feedback on this institute.,"At this point, how would you rate the overall quality of the Data Wise Workshop?","At this point, to what extent did you find this program professionally useful?","At this point, how much do you intend to modify your professional practice, based on your experience in this program?","How satisfied were you with the diversity of the course's learning community, inclusive of racial, ethnic, professional, personal, regional, institution type, and other perspectives and backgrounds?",How might we improve in supporting a diverse learning community?
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID88""}","{""ImportId"":""QID21""}","{""ImportId"":""QID65_TEXT""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87_TEXT""}"
2020-01-08 18:44:17,2020-01-08 18:46:23,IP Address,198.206.25.25,100,126,True,2020-01-08 18:46:24,R_1juDJZV3VCUCe7u,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Completely Satisfied,Completely Satisfied,Time to work on actual agendas and plan,Some parts of the agenda or resources were unclear,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Strongly Agree,,Shared Commitment,,,Excellent,A Great Deal,A Great Deal,Completely Satisfied,
2020-01-08 18:44:52,2020-01-08 18:47:59,IP Address,198.206.25.25,100,187,True,2020-01-08 18:47:59,R_10vMlHEDITWHljm,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Moderately Satisfied,,Time provided was not enough.,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,The agenda creation experience was a bit confusing at times.  Suggestion: have a data wise person with each group to guide us through the process.,Strongly Agree,Strongly Agree,Integrating Data Wise with our current school improvement process.,Shared Committment to Action,,,Excellent,A Great Deal,A Great Deal,Completely Satisfied,
2020-01-08 18:44:23,2020-01-08 18:48:39,IP Address,198.206.25.25,100,255,True,2020-01-08 18:48:39,R_qInIilnSW4cjmg1,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Completely Satisfied,Completely Satisfied,Clear objectives,Nothing,Neutral,Agenda goals were clear,Insufficient time in agenda to complete tasks,Completely Satisfied,Completely Satisfied,Good Model data to work with...,Greater variety of data sources.,Moderately Satisfied,Adequate time to complete task,Nothing,Somewhat Agree,Somewhat Agree,Continued support in the steps of the process...,E,A,My team could have used some additional prep prior to this training in order to accomplish the goals in the time alloted.,Very Good,Quite A Bit,Moderately,Completely Satisfied,
2020-01-08 18:44:35,2020-01-08 18:48:43,IP Address,198.206.25.64,100,248,True,2020-01-08 18:48:44,R_SVPYdgKHaRkOFnr,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Somewhat Agree,,,,,Excellent,A Great Deal,Quite A Bit,Completely Satisfied,
2020-01-08 18:46:32,2020-01-08 18:49:27,IP Address,198.206.25.25,100,175,True,2020-01-08 18:49:27,R_TueP81PUUfGEoz7,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Strongly Agree,,,,,Excellent,A Great Deal,A Great Deal,Completely Satisfied,
2020-01-08 18:48:58,2020-01-08 18:49:52,IP Address,198.206.25.64,100,54,True,2020-01-08 18:49:52,R_3EMDBtDdQae464u,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Somewhat Agree,Somewhat Agree,,,,,Very Good,Quite A Bit,Moderately,Completely Satisfied,
2020-01-08 18:46:36,2020-01-08 18:49:53,IP Address,198.206.25.25,100,197,True,2020-01-08 18:49:54,R_27DtLdFyCjaZ4Ru,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Completely Satisfied,Completely Satisfied,practice time,a little more of a deeper dive into the agenda and meeting expectations prior to the work,Moderately Satisfied,practice,norms enforcement,Completely Satisfied,,.,.,,more time to practice with feedback from  the exerts,live feedback from the experts about our practice,Strongly Agree,Strongly Agree,look at our plan and progress and offer feedback and next steps,Intentional Collaboration,Relentless focus on evidence- low on  the ladder,Thank YOU!,Excellent,A Great Deal,A Great Deal,Completely Satisfied,.
2020-01-08 18:44:37,2020-01-08 18:50:27,IP Address,198.206.25.25,100,350,True,2020-01-08 18:50:27,R_3PIffGsVTi2YeeW,,,,,40.406402587890625,-79.98560333251953125,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Starting to look at data,More time,Completely Satisfied,Completely Satisfied,the gallary walks,N/A,Completely Satisfied,The collaborative effort by our team,More time,Strongly Agree,Somewhat Agree,How to get staff buy-in,A,C - sometimes we tend to move away from the task at hand,,Excellent,A Great Deal,Quite A Bit,Completely Satisfied,N/A
