StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3_1,Q3_2,Q4,Q5,Q6_1,Q6_2,Q7,Q8,Q9_1,Q10,Q11,Q12_1,Q12_2,Q13,Q14,Q15_1,Q16,Q17,Q19,Q20,Q21,Q22,Q23,Q24,Q26,Q27,Q28,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_5_TEXT,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q30_7,Q31,Q33,Q34
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,[Faculty Session] Setting the Context (Jorge Peña) We reviewed the ACE Habits of Mind and compared Data Wise to other data processes. - Importance of Topic,[Faculty Session] Setting the Context (Jorge Peña) We reviewed the ACE Habits of Mind and compared Data Wise to other data processes. - Quality of Instruction,What worked well about this session?,What would you have liked to change about this session?,"[Faculty Session] Step 6 & 7: Developing an Action Plan and Plan to Assess Progress (Monique Davis & Jorge Peña) We explored Action Plans, Plans to Assess Progress, and Equity Mindsets using the Kingsway case. - Importance of Topic","[Faculty Session] Step 6 & 7: Developing an Action Plan and Plan to Assess Progress (Monique Davis & Jorge Peña) We explored Action Plans, Plans to Assess Progress, and Equity Mindsets using the Kingsway case. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,[Team Session] Team Meeting 2 (Team Time) - Value of Session,What worked well about this session?,What would you have liked to change about this session?,"[Faculty Session] Step 8: Act and Assess (Michael Figueroa & Max Yurkofsky) We examined how to Act and Assess, PDSA Cycles, and After Action Reviews. - Importance of Topic","[Faculty Session] Step 8: Act and Assess (Michael Figueroa & Max Yurkofsky) We examined how to Act and Assess, PDSA Cycles, and After Action Reviews. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,[Team Session] Team Meeting 3 (Team Time) - Value of Session,What worked well about this session?,What would you have liked to change about this session?,"Today's sessions helped me articulate how and why equity is central to the work of
school improvement.",We have a big-picture plan to move forward Steps 5 through 8 at our school.,"As you think ahead to the virtual coaching sessions over the next couple of months, what do you imagine you might want to get support on?","Which ACE habit has been a strength for you personally over these two days? 
*Remember, the ACE habits of mind are A (Shared Commitment to Action, Assessment, and Adjustment), C (Intentional Collaboration), and E (Relentless Focus on Evidence).",Which ACE habit do you anticipate needing support on as a team? Why?,Any other comments,How would you rate the overall quality of the Data Wise program?,To what extent did you find this program professionally useful?,"How much do you intend to modify your professional practice, based on your experience in this program?",Which instructional styles did you find most effective? Please check all that apply. - Selected Choice - Lectures from Faculty,Which instructional styles did you find most effective? Please check all that apply. - Selected Choice - Case Discussions,Which instructional styles did you find most effective? Please check all that apply. - Selected Choice - Working with your Project Team,Which instructional styles did you find most effective? Please check all that apply. - Selected Choice - Learning with Practitioners from Other Schools,Which instructional styles did you find most effective? Please check all that apply. - Selected Choice - Other:,Which instructional styles did you find most effective? Please check all that apply. - Other: - Text,Below are the learning objectives for this program. Please indicate the extent to which you agree that this program supported you in meeting them. - Know the importance of examining instruction within the Data Wise Improvement Process,Below are the learning objectives for this program. Please indicate the extent to which you agree that this program supported you in meeting them. - Understand how to decide on instructional strategies to impact LCP,Below are the learning objectives for this program. Please indicate the extent to which you agree that this program supported you in meeting them. - Know how to plan to assess progress,Below are the learning objectives for this program. Please indicate the extent to which you agree that this program supported you in meeting them. - Share with colleagues progress and plans for using the DWIP,Below are the learning objectives for this program. Please indicate the extent to which you agree that this program supported you in meeting them. - Understand how to move from Inquiry to Action,Below are the learning objectives for this program. Please indicate the extent to which you agree that this program supported you in meeting them. - Learn a framework for rapid improvement cycles,Below are the learning objectives for this program. Please indicate the extent to which you agree that this program supported you in meeting them. - Plan for next steps and receive feedback from a teaching team member,"On a scale of 0 to 10, how likely is it that you would recommend this program to a friend or colleague?","How satisfied were you with the diversity of the course's learning community, inclusive of racial, ethnic, professional, personal, regional, institution type, and other perspectives and backgrounds?",How might we improve in supporting a diverse learning community?
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID51_2""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID93_TEXT""}","{""ImportId"":""QID94_TEXT""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID88""}","{""ImportId"":""QID21""}","{""ImportId"":""QID65_TEXT""}","{""ImportId"":""QID74_TEXT""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID90"",""choiceId"":""1""}","{""ImportId"":""QID90"",""choiceId"":""2""}","{""ImportId"":""QID90"",""choiceId"":""3""}","{""ImportId"":""QID90"",""choiceId"":""4""}","{""ImportId"":""QID90"",""choiceId"":""5""}","{""ImportId"":""QID90_5_TEXT""}","{""ImportId"":""QID83_1""}","{""ImportId"":""QID83_2""}","{""ImportId"":""QID83_5""}","{""ImportId"":""QID83_6""}","{""ImportId"":""QID83_7""}","{""ImportId"":""QID83_8""}","{""ImportId"":""QID83_9""}","{""ImportId"":""QID82""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87_TEXT""}"
2019-12-05 20:57:36,2019-12-05 20:58:53,IP Address,96.4.165.217,100,77,True,2019-12-05 20:58:54,R_1F8v0Rj280qAPNh,,,,,35.106292724609375,-89.94100189208984375,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Strongly Agree,,,,,Excellent,A Great Deal,A Great Deal,Lectures from Faculty,Case Discussions,Working with your Project Team,Learning with Practitioners from Other Schools,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10    (Extremely Likely),Completely Satisfied,
2019-12-05 21:02:58,2019-12-05 21:04:31,IP Address,96.4.165.217,100,92,True,2019-12-05 21:04:32,R_3dZljmoC7xunBRO,,,,,35.106292724609375,-89.94100189208984375,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Strongly Agree,,,,,Excellent,A Great Deal,A Great Deal,Lectures from Faculty,Case Discussions,Working with your Project Team,Learning with Practitioners from Other Schools,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,9,Completely Satisfied,
2019-12-05 21:02:27,2019-12-05 21:04:36,IP Address,96.4.165.217,100,128,True,2019-12-05 21:04:36,R_3kmQV26HbrgtlPG,,,,,35.106292724609375,-89.94100189208984375,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Somewhat Agree,Strongly Agree,,shared commitment to action,intentional collaboration,,Excellent,A Great Deal,Quite A Bit,Lectures from Faculty,,Working with your Project Team,Learning with Practitioners from Other Schools,,,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,7,Moderately Satisfied,
2019-12-05 21:03:16,2019-12-05 21:05:20,IP Address,96.4.165.217,100,123,True,2019-12-05 21:05:20,R_2UbYWyREXGp7zFa,,,,,35.106292724609375,-89.94100189208984375,anonymous,EN,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Satisfied,,,Moderately Satisfied,Moderately Satisfied,,,Moderately Dissatisfied,,,Somewhat Agree,Somewhat Agree,,,,,Very Good,Quite A Bit,Quite A Bit,,Case Discussions,Working with your Project Team,Learning with Practitioners from Other Schools,,,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,7,Moderately Satisfied,
2019-12-05 20:58:21,2019-12-05 21:05:22,IP Address,96.4.165.217,100,421,True,2019-12-05 21:05:23,R_2S6l46PIjbe8r14,,,,,35.106292724609375,-89.94100189208984375,anonymous,EN,Completely Satisfied,Completely Satisfied,It was shorter and more to the point.,Nothing,Completely Satisfied,Completely Satisfied,Breaking about data sources and short term goals.,nothing,Completely Satisfied,We got a bit done and had one on one coaching with Monique.,"Almost too much time, may be because we are getting used to the process.",Completely Satisfied,Completely Satisfied,Talking with other schools about agreements and arguments.,nothing,Completely Satisfied,"Able to plan for our next school level meeting, as well as working on the Journey.",Nothing,Strongly Agree,Strongly Agree,Making sure our action plans receive adequate feedback,Shared Commitment to Action,not sure,none,Excellent,A Great Deal,Quite A Bit,,Case Discussions,Working with your Project Team,Learning with Practitioners from Other Schools,,,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,10    (Extremely Likely),Completely Satisfied,unsure
2019-12-05 21:04:06,2019-12-05 21:06:04,IP Address,96.4.165.155,100,117,True,2019-12-05 21:06:04,R_2EGX4sJGqlWvOdf,,,,,35.106292724609375,-89.94100189208984375,anonymous,EN,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Completely Satisfied,Completely Satisfied,,,Completely Satisfied,,,Strongly Agree,Somewhat Agree,,,,,Excellent,A Great Deal,A Great Deal,Lectures from Faculty,Case Discussions,Working with your Project Team,Learning with Practitioners from Other Schools,Other:,"Enthusiasm ",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10    (Extremely Likely),Completely Satisfied,
2019-12-05 20:57:58,2019-12-05 21:06:18,IP Address,96.4.165.217,100,500,True,2019-12-05 21:06:19,R_12QMxLMMQkhk4bK,,,,,35.106292724609375,-89.94100189208984375,anonymous,EN,Completely Satisfied,Completely Satisfied,"looking at short, middle, and long term goals",thought of the kingsway study,Completely Satisfied,Completely Satisfied,,,,,,Completely Satisfied,Completely Satisfied,being able to see the worksheet of strategy all the way to success,the amount of time,Completely Satisfied,being able to have more time to collaborate as team,"the wordage of the google doc, very high packed with wording",Strongly Agree,Somewhat Agree,,"A share commitment is important ",,,Very Good,Quite A Bit,A Great Deal,,Case Discussions,Working with your Project Team,Learning with Practitioners from Other Schools,,,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,8,Completely Satisfied,
2019-12-05 21:02:40,2019-12-05 21:06:26,IP Address,96.4.165.217,100,226,True,2019-12-05 21:06:26,R_30jW1mwCcpGUxuT,,,,,35.106292724609375,-89.94100189208984375,anonymous,EN,Completely Satisfied,Completely Satisfied,hands on activities,N/A,Completely Satisfied,Completely Satisfied,feedback,N/A,Completely Satisfied,"feedback, collaboration, hands on activities",N/A,Completely Satisfied,Completely Satisfied,"feedback, collaboration, hands on activities",N/A,Completely Satisfied,"feedback, collaboration, hands on activities",N/A,Strongly Agree,Strongly Agree,consistency,Intentional collaboration,shared commitment to action,,Excellent,A Great Deal,A Great Deal,,Case Discussions,Working with your Project Team,Learning with Practitioners from Other Schools,,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,10    (Extremely Likely),Completely Satisfied,
