StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q5,Q6_1,Q7,Q8,Q9_1,Q9_2,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18_1,Q18_2,Q19,Q20,Q21,Q22_1,Q22_2,Q23,Q24,Q25_1,Q25_2,Q26,Q27,Q28,Q29_1,Q29_2,Q30,Q31,Q32_1,Q32_2,Q33,Q34,Q35_1,Q35_2,Q36,Q37,Q38,Q39
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your role?,What kind of team are you on?,Did you attend the Putting Data Wise into Action session yesterday?,[Optional Session] Putting Data Wise into Action (Max Yurkofsky) - Helpfulness of session,What worked well about this session?,What would you like to change about this session?,"[Faculty Session] Big Picture and Spiral Review (Candice Bocala & Kathryn Boudett)

In this session, we reviewed the feedback from yesterday and provided feedback to our teaching fellow about how s/he can best support our learning. We then used the Vivid Images protocol to practice maintaining a relentless focus on evidence when looking at data. - Importance of topic","[Faculty Session] Big Picture and Spiral Review (Candice Bocala & Kathryn Boudett)

In this session, we reviewed the feedback from yesterday and provided feedback to our teaching fellow about how s/he can best support our learning. We then used the Vivid Images protocol to practice maintaining a relentless focus on evidence when looking at data. - Quality of instruction",What worked well about this session?,What would you have liked to change about this session?,Please indicate the extent to which you agree with this statement:Today's sessions helped me re,What worked well about this activity?,What would you have liked to change about this activity?,"Please indicate the extent to which you agree with this statement:
As a participant, I appreciated the opportunity to provide feedback to my teaching fellow.",Anything else you want us to know?,What would you have liked to change about this activity?,"[Faculty Session] Learning to See (Elizabeth City)

In this session, we started with a Rock/Paper/Scissors tournament then practiced maintaining a relentless focus on evidence when looking at practice and used the Objectivity/Specificity Matrix to improve the quality of data we collect. We also discussed the importance of paying attention to task when observing practice. - Importance of Topic","[Faculty Session] Learning to See (Elizabeth City)

In this session, we started with a Rock/Paper/Scissors tournament then practiced maintaining a relentless focus on evidence when looking at practice and used the Objectivity/Specificity Matrix to improve the quality of data we collect. We also discussed the importance of paying attention to task when observing practice. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,Which Step 5 Case did you participate in?,"[Case Session] Step 5 Case Discussion: Examining Instruction (Elementary)

In this session we observed a video of teaching and then used the affinity protocol to help us work toward stating a problem of practice. - Importance of Topic","[Case Session] Step 5 Case Discussion: Examining Instruction (Elementary)

In this session we observed a video of teaching and then used the affinity protocol to help us work toward stating a problem of practice. - Quality of Instruction",What worked well about this case discussion? (Elementary),What would you have liked to change about this case discussion? (Elementary),"[Case Session] Step 5 Case Discussion: Examining Instruction (High School)

In this session we observed videos of teaching and then used the affinity protocol to help us work toward stating a problem of practice. - Importance of Topic","[Case Session] Step 5 Case Discussion: Examining Instruction (High School)

In this session we observed videos of teaching and then used the affinity protocol to help us work toward stating a problem of practice. - Quality of Instruction",What worked well about this Case Discussion? (High School),What would you have liked to change about this Case Discussion? (High School),Which Step 6 & 7 Case did you participate in?,"[Case Session] Step 6 & 7 Case Discussion (Elementary)

In this case we explored instructional strategies that address the case study school's problem of practice and reflected on our own baseline summaries as a way of selecting strategies for Steps 6 and 7. - Importance of Topic","[Case Session] Step 6 & 7 Case Discussion (Elementary)

In this case we explored instructional strategies that address the case study school's problem of practice and reflected on our own baseline summaries as a way of selecting strategies for Steps 6 and 7. - Quality of Instruction",What worked well about this Case Discussion? (Elementary),What would you have liked to change about this Case Discussion? (Elementary),"[Case Session] Step 6 & 7 Case Discussion (High School)

In this case we explored instructional strategies that address the case study school's problem of practice and saw what an action plan and a plan to assess progress can look like.  Then we saw some evidence of the impact on teaching and learning at Kingsway High School. - Importance of Topic","[Case Session] Step 6 & 7 Case Discussion (High School)

In this case we explored instructional strategies that address the case study school's problem of practice and saw what an action plan and a plan to assess progress can look like.  Then we saw some evidence of the impact on teaching and learning at Kingsway High School. - Quality of Instruction",What worked well about this Case Discussion? (High School),What would you have liked to change about this Case Discussion? (High School),[Team Session] Identifying Insights and Challenges (Working with your school or system team) - Importance of Topic,[Team Session] Identifying Insights and Challenges (Working with your school or system team) - Quality of Instruction,What worked well about this session?,What would you have liked to change about this session?,"Please indicate the extent to which you agree with this statement:
Today's sessions helped me articulate how and why equity is central to the work of school improvement.","Please indicate the extent to which you agree with this statement:

Today's sessions helped me reflect on how Data Wise tools could be used in service of equity."
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID56""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID59_TEXT""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID66_TEXT""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID65""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID67_TEXT""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID54""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID43_2""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45_TEXT""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID46_2""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID55""}","{""ImportId"":""QID61""}"
6/21/18 15:02,6/21/18 15:13,IP Address,67.134.206.34,100,630,TRUE,6/21/18 15:13,R_6xMXBmxoIzw6dnH,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,"Completely
Satisfied","Completely
Satisfied",Vivid images is a great game to play to see if people can give or receive good information.,Nothing,,,,Strongly agree,Reviewing of the norms and what we planned to accomplish today.,Nothing.,"Completely
Satisfied","Completely
Satisfied",Dr. City is a rockstar! She was a refreshing breath of fresh air to our proceedings.,Nothing.,High School Case,,,,,"Completely
Satisfied",Neutral,"Good usage of the videos and other graphs to make the point about generating an action plan. Fan of the times when students have been able to articulate their struggles.
Teachers were very candid about the needs there.","Get groups up and moving after lunch. 
possibly a gallery walk
Make more of a clear line into the affect of this work on student data.",High School Case,,,,,"Completely
Satisfied",Neutral,,,"Completely
Satisfied","Moderately
Satisfied",,,Somewhat agree,Somewhat agree
6/21/18 15:15,6/21/18 15:18,IP Address,67.134.206.45,100,147,TRUE,6/21/18 15:18,R_bmFK5p9k14NZ3qx,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,"Completely
Satisfied","Completely
Satisfied",,,,,,Strongly agree,,,"Completely
Satisfied","Completely
Satisfied",,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied","Completely
Satisfied",,,Strongly agree,Strongly agree
6/21/18 15:48,6/21/18 16:05,IP Address,67.134.206.38,100,994,TRUE,6/21/18 16:05,R_3e4Dc85znQr0MRs,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,Yes,Neutral,N/A,N/A,"Completely
Satisfied","Completely
Satisfied",The Vivid Images protocol was very useful as a tool to be implemented during our own DWIP.,NA,,,,Strongly agree,The teaching fellow was very open to both positive and negative comments and made adjustments to his approach which proved amazingly helpful.,NA,"Completely
Satisfied","Completely
Satisfied","Oh my God I totally loved the rock, paper, scissors activity and plan to use it with my students next year.",NA,High School Case,,,,,"Completely
Satisfied","Completely
Satisfied",The affinity protocol helped us to clearly identify the problem of practice.,NA,High School Case,,,,,"Completely
Satisfied","Completely
Satisfied",The layout of the action plan which included the LCP and the Problem of Practice really shed light on part of the problems we faced and ways to overcome those problems.,NA,"Completely
Satisfied","Completely
Satisfied",Our collaboration grew as a school team and we became more united in our approach or thinking.,NA,Strongly agree,Strongly agree
6/21/18 16:14,6/21/18 16:17,IP Address,67.134.206.44,100,183,TRUE,6/21/18 16:17,R_3LXxenWJNdzc7UY,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,"Completely
Satisfied","Completely
Satisfied",,,,,,Strongly agree,,,"Completely
Satisfied","Completely
Satisfied",,,Elementary Case,"Moderately
Satisfied","Moderately
Satisfied",,,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied","Completely
Satisfied",,,Strongly agree,Strongly agree
6/21/18 16:10,6/21/18 16:19,IP Address,67.134.206.45,100,540,TRUE,6/21/18 16:19,R_33iZHwADYn8oHkB,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,"Completely
Satisfied","Completely
Satisfied",Love the continuous review,,,,,Somewhat agree,I confess at first it was a little awkward but turned out to be helpful for the day.,"When you have a strong blue group, staying with them for the week is great. When you do not, it is a little exhausting. Is there any way to mix up blue groups?","Completely
Satisfied","Completely
Satisfied","Great - clear, enagaging",,Elementary Case,"Completely
Satisfied","Moderately
Satisfied",Clearer than Wednesday,,,,,,Elementary Case,"Completely
Satisfied","Moderately
Satisfied",,,,,,,"Completely
Satisfied","Completely
Satisfied",We could not have the level of understanding without the help of out teaching fellow. I feel blessed to have had Monique to guide us.,Wished it had transpired a little earlier in the day for additional time to talk through and finalize presentation,Strongly agree,Strongly agree
6/21/18 16:17,6/21/18 16:23,IP Address,67.134.206.44,100,343,TRUE,6/21/18 16:23,R_3kcZTAHCcKYRJA3,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,"Completely
Satisfied","Completely
Satisfied",,,,,,Strongly agree,"My teaching fellow did a great job, but I feel like after we gave him feedback today, he began to contribute even more.",,"Completely
Satisfied","Completely
Satisfied",I loved how this session brought instruction into the picture.,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",I liked working with the team to discuss and come to consensus on the instructional matrix.,,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",I really liked hearing the teachers from the case study reflect on the year.,,,,,,"Completely
Satisfied","Completely
Satisfied",,,Strongly agree,Strongly agree
6/21/18 16:00,6/21/18 16:24,IP Address,67.134.206.36,100,1431,TRUE,6/21/18 16:24,R_1OxJ8UE17AEwJPT,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,,,,,"Moderately
Satisfied","Moderately
Satisfied",,,,,,Strongly agree,,,"Moderately
Satisfied","Moderately
Satisfied",,,Elementary Case,"Moderately
Satisfied","Moderately
Satisfied",,,,,,,Elementary Case,"Moderately
Satisfied","Moderately
Satisfied",,,,,,,"Moderately
Satisfied","Moderately
Satisfied",,,Somewhat disagree,Strongly agree
6/21/18 16:31,6/21/18 16:32,IP Address,67.134.206.40,100,96,TRUE,6/21/18 16:32,R_pSK2hDkc95yk7h7,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,"Completely
Satisfied","Completely
Satisfied",,,,,,Strongly agree,,,"Completely
Satisfied","Completely
Satisfied",,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied","Completely
Satisfied",,,Strongly agree,Strongly agree
6/21/18 16:34,6/21/18 16:36,IP Address,67.134.206.47,100,78,TRUE,6/21/18 16:36,R_ToAOAyIOuHsIzm1,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,"Completely
Satisfied","Completely
Satisfied",,,,,,Strongly agree,,,"Completely
Satisfied","Completely
Satisfied",,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied","Completely
Satisfied",,,Strongly agree,Strongly agree
6/21/18 16:35,6/21/18 16:36,IP Address,67.134.206.45,100,89,TRUE,6/21/18 16:36,R_2rrcH57C3S6qm9c,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,"Completely
Satisfied","Completely
Satisfied",,,,,,Strongly agree,,,"Completely
Satisfied","Completely
Satisfied",,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied","Completely
Satisfied",,,Strongly agree,Strongly agree
6/21/18 16:34,6/21/18 16:41,IP Address,67.134.206.36,100,388,TRUE,6/21/18 16:41,R_V3GNMW6BKH0HiQV,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,"Completely
Satisfied",,,,,,,Strongly agree,,,"Completely
Satisfied",,,,Elementary Case,"Completely
Satisfied",,,,,,,,Elementary Case,"Completely
Satisfied",,,,,,,,"Completely
Satisfied",,,,Strongly agree,Strongly agree
6/21/18 10:48,6/21/18 16:42,IP Address,67.134.206.43,100,21213,TRUE,6/21/18 16:42,R_3DwOhh4TB4y3l16,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,"Completely
Satisfied","Completely
Satisfied",It was helpful to give critical thought to the efforts of other team members.,nothing,,,,Somewhat agree,check sheet format was useful,,"Completely
Satisfied","Completely
Satisfied",I enjoyed the tournament. I would like to experiment with it in my classroom.,More time for the presenter. She was engaging and enjoyable.,High School Case,,,,,"Completely
Satisfied","Completely
Satisfied",Protocol will be useful to facilitate difficult conversations. Thank you.,More time,High School Case,,,,,"Moderately
Satisfied","Moderately
Satisfied",videos and clarification,time,"Completely
Satisfied","Completely
Satisfied",We were all excited about being here; ready to get home and get after it; felt better after discussing the protocol for tomorrow,"Once again, more time.",Strongly agree,Strongly agree
6/21/18 16:35,6/21/18 16:45,IP Address,67.134.206.37,100,608,TRUE,6/21/18 16:45,R_31SoMy3T4X7FVeT,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,"Completely
Satisfied","Completely
Satisfied","I enjoyed the vivid images protocol and I am eager to not only use this with the teaching staff, but also use it to increase speaking and listening skills in my students.",,,,,Strongly agree,"I appreciated how open, honest, and immediate this feedback was. It was clear that our TF immediately embraced what we said and changed her instruction.",Possibly try doing this earlier in the week.,"Completely
Satisfied","Completely
Satisfied",WOW! I LOVED IT! Liz was high energy and super engaging and got us hyped up to listen to protocols when we were all feeling low energy. The matrix is such an easy tool to take right back to every teacher in the building and apply to examining instruction right away.,,Elementary Case,"Completely
Satisfied","Completely
Satisfied","It was open and honest discussion and allowed us to objectively observe teaching and determine a more accurate realization of what we needed to work on as the ""fifth grade teachers"".",,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",Seeing the openness and honesty of the fifth grade team at Northaven was good to see that the process gets messy and they were able to own it and move forward.,Post lunch needed more movement. It was hard to stay tuned in.,,,,,"Completely
Satisfied","Completely
Satisfied",Having the opportunity to talk it through with our TF Stefanie.,,Strongly agree,Strongly agree
6/21/18 12:09,6/21/18 16:47,IP Address,67.134.206.40,100,16625,TRUE,6/21/18 16:47,R_2cd3oDQUbmk2SVa,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,Yes,"Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,Strongly agree,,,"Completely
Satisfied","Completely
Satisfied",I loved the interactions that were provided.,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",The interactions between my group was aswesome. It took us a while to come up with the problem of practice however we wrorked together and came up one that was GOOD!!,,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",Our table mentor gave suggections on how to work through some of the challenges that we are going to face.,I was too much information after lunch.,,,,,"Completely
Satisfied","Completely
Satisfied",We wroked very well together this afternoon.,NA,Strongly agree,Strongly agree
6/21/18 13:51,6/21/18 16:47,IP Address,67.134.206.36,100,10583,TRUE,6/21/18 16:47,R_1M6T8zr4DS5tFiK,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,"Completely
Satisfied","Completely
Satisfied",,,,,,Somewhat agree,,,"Completely
Satisfied","Completely
Satisfied",,,High School Case,,,,,"Completely
Satisfied","Moderately
Satisfied",,,High School Case,,,,,"Moderately
Satisfied","Moderately
Satisfied",,,"Moderately
Satisfied","Completely
Satisfied",,,Somewhat agree,Strongly agree
6/21/18 16:43,6/21/18 16:48,IP Address,67.134.206.41,100,338,TRUE,6/21/18 16:48,R_2tmvvz4I77MCLdc,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,Yes,"Moderately
Satisfied",,,"Moderately
Satisfied","Completely
Satisfied",,,,,,Strongly agree,,,"Completely
Satisfied","Completely
Satisfied",,,Elementary Case,"Moderately
Satisfied","Completely
Satisfied",,,,,,,Elementary Case,"Moderately
Satisfied","Completely
Satisfied",,,,,,,"Moderately
Satisfied","Completely
Satisfied",,,Somewhat agree,Somewhat agree
6/21/18 16:46,6/21/18 16:49,IP Address,67.134.206.43,100,144,TRUE,6/21/18 16:49,R_2EzMjl1blNRJaNw,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,,,,,"Completely
Satisfied","Completely
Satisfied",Video evidence,Work with team to see perspectives,,,,Somewhat agree,,,"Completely
Satisfied","Completely
Satisfied",,,Elementary Case,"Moderately
Satisfied","Moderately
Satisfied",Video evidence,,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",Video,nothing,,,,,"Completely
Satisfied","Completely
Satisfied",'-p,-,Strongly agree,Strongly agree
