StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q5_1,Q5_2,Q6,Q7,Q8,Q9_1,Q9_2,Q10,Q11,Q12_1,Q12_2,Q13,Q14,Q15_1,Q15_2,Q16,Q17,Q18_1,Q18_2,Q19,Q20,Q21_1,Q21_3,Q22,Q23,Q24_1,Q24_3,Q25,Q26,Q27,Q28,Q29,Q30_1,Q30_2,Q30_3,Q30_4,Q30_5,Q30_6,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q32,Q33
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your role?,What kind of team are you on?,"[Faculty Session] Big Picture and Spiral Review (Candice Bocala & Kathryn Boudett) 

In this session, we reviewed the feedback from Monday and then introduced ourselves to our case groups and discussed how we would hold ourselves to norms.  We then reviewed the difference between adaptive and technical challenges and discussed how to categorize our biggest challenges.  Finally, we revisited the definition of an equitable school and considered how Data Wise tools can be used in service of equity. - Importance of Topic","[Faculty Session] Big Picture and Spiral Review (Candice Bocala & Kathryn Boudett) 

In this session, we reviewed the feedback from Monday and then introduced ourselves to our case groups and discussed how we would hold ourselves to norms.  We then reviewed the difference between adaptive and technical challenges and discussed how to categorize our biggest challenges.  Finally, we revisited the definition of an equitable school and considered how Data Wise tools can be used in service of equity. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,Which of the folllowing best describes your experience with  the 14-minute Assessment Literacy video that was assigned for homework last night?,"[Faculty Session] Building Assessment Literacy (Johanna Barmore and Mary Dillman)

In this whole group session, we discussed how assessments shine a light on student skills and knowledge and we practiced applying responsible assessment literacy practices in a variety of examples. - Importance of Topic","[Faculty Session] Building Assessment Literacy (Johanna Barmore and Mary Dillman)

In this whole group session, we discussed how assessments shine a light on student skills and knowledge and we practiced applying responsible assessment literacy practices in a variety of examples. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,"[Team Session] Building Assessment Literacy (Working with your School Team)
In this first team session of the day, objectives were to:


        Understand that because any given assessment illuminates a portion of the skills and knowledge we want students to acquire, we must know how the domain of a test relates to the larger domain of those skills
        Learn key attributes to consider when studying how assessment results are reported.
        Know responsible assessment literacy practices and why they are effective.
        Apply responsible assessment literacy practices when interpreting several different school scenarios.

 

 
Review the skills tested and how results are reported on a frequently used assessment Discuss how to build assessment literacy with our faculty - Importance of the objectives we were asked to discuss","[Team Session] Building Assessment Literacy (Working with your School Team)
In this first team session of the day, objectives were to:


        Understand that because any given assessment illuminates a portion of the skills and knowledge we want students to acquire, we must know how the domain of a test relates to the larger domain of those skills
        Learn key attributes to consider when studying how assessment results are reported.
        Know responsible assessment literacy practices and why they are effective.
        Apply responsible assessment literacy practices when interpreting several different school scenarios.

 

 
Review the skills tested and how results are reported on a frequently used assessment Discuss how to build assessment literacy with our faculty - Satisfaction with how our discussion went",What worked well about this session?,What would you have liked to change about this session?,"[Case Session] System Case: Taking a System Team Data Wise Journey (Monique Davis, Donna Drakeford, and David Rease, Jr.)



In this session, we saw an
example of what a system team Data Wise journey looks like in Prince George's
County Public Schools.  We also discussed
the PGCPS case that we read for homework, focusing on the leadership moves
needed when using an improvement process throughout a system. - Importance topic","[Case Session] System Case: Taking a System Team Data Wise Journey (Monique Davis, Donna Drakeford, and David Rease, Jr.)



In this session, we saw an
example of what a system team Data Wise journey looks like in Prince George's
County Public Schools.  We also discussed
the PGCPS case that we read for homework, focusing on the leadership moves
needed when using an improvement process throughout a system. - Quality of instruction",What worked well about this session?,What would you have liked to change about this session?,"[Faculty Session] Creating a Data Overview (Candice Bocala and Kim Frumin)

In this whole group session, we learned about how to choose a focus area and how to find the story in a pile of data.  We then sketched a chart to display that story. - Importance of Topic","[Faculty Session] Creating a Data Overview (Candice Bocala and Kim Frumin)

In this whole group session, we learned about how to choose a focus area and how to find the story in a pile of data.  We then sketched a chart to display that story. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,"[Team Session] Creating a Data Overview (Working with your School Team)

In this afternoon team session, the objectives were to:


        Know what a focus area is and how to choose one.
        Know the purpose of a data overview meeting.
        â€‹Know the importance of seeing the stories in a pile of data.
        Practice creating clear and compelling data displays. - Importance of the objectives we were asked to discuss","[Team Session] Creating a Data Overview (Working with your School Team)

In this afternoon team session, the objectives were to:


        Know what a focus area is and how to choose one.
        Know the purpose of a data overview meeting.
        â€‹Know the importance of seeing the stories in a pile of data.
        Practice creating clear and compelling data displays. - Satisfaction with how our discussion went",What worked well about this session?,What would you have liked to change about this session?,"[Team Session] Strategic Planning and Coherence I (Working with your system team)

 

Team meeting objectives were to:


        Reflect on what we heard from the Prince Georgeâ€™s County system team 
        Understand how our systemâ€™s initiatives related to improving instruction fit together 
        Articulate how we hope Data Wise will bring coherence to our system - Importance of the objectives we were asked to discuss","[Team Session] Strategic Planning and Coherence I (Working with your system team)

 

Team meeting objectives were to:


        Reflect on what we heard from the Prince Georgeâ€™s County system team 
        Understand how our systemâ€™s initiatives related to improving instruction fit together 
        Articulate how we hope Data Wise will bring coherence to our system - Satisfaction with how our discussion went",What worked well about this session?,What would you have liked to change about this session?,"Are you planning on attending the Putting Data Wise in Action optional session tomorrow (6/20 5:15-5:45 pm)?

 

In this session you will learn how enrolling in the Data Wise in Action Program could support your team in working your way through a complete improvement cycle. The program takes place from mid-August - late-March, providing support from a dedicated teaching fellow along with resources such as meeting agendas and presentation slides you can use to guide colleagues through the process.",What are you hoping to get out of this session?,What are you hoping to get out of this session?,"In the team that you came to Harvard with, how well are you and your colleagues following norms? - Take an inquiry stance","In the team that you came to Harvard with, how well are you and your colleagues following norms? - Ground statements in evidence","In the team that you came to Harvard with, how well are you and your colleagues following norms? - Assume positive intentions and take responsibility for impact","In the team that you came to Harvard with, how well are you and your colleagues following norms? - Stick to protocol and hear all voices","In the team that you came to Harvard with, how well are you and your colleagues following norms? - Start and end on time","In the team that you came to Harvard with, how well are you and your colleagues following norms? - Be here now","At the table where you worked during the whole group sessions today, how well are you and your colleagues following norms? - Take an inquiry stance","At the table where you worked during the whole group sessions today, how well are you and your colleagues following norms? - Ground statements in evidence","At the table where you worked during the whole group sessions today, how well are you and your colleagues following norms? - Assume positive intentions and take responsibility for impact","At the table where you worked during the whole group sessions today, how well are you and your colleagues following norms? - Stick to protocol and hear all voices","At the table where you worked during the whole group sessions today, how well are you and your colleagues following norms? - Start and end on time","At the table where you worked during the whole group sessions today, how well are you and your colleagues following norms? - Be here now","Please indicate the extent to which you agree with this statement:
Today's sessions helped me articulate how and why equity is central to the work of school improvement.","Please indicate the extent to which you agree with this statement:

Today's sessions helped me reflect on how Data Wise tools could be used in service of equity."
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID25_1""}","{""ImportId"":""QID25_2""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_3""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_3""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID50_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53_TEXT""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID31_4""}","{""ImportId"":""QID31_5""}","{""ImportId"":""QID31_6""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID32_3""}","{""ImportId"":""QID32_4""}","{""ImportId"":""QID32_5""}","{""ImportId"":""QID32_6""}","{""ImportId"":""QID55""}","{""ImportId"":""QID51""}"
6/19/18 14:24,6/19/18 14:32,IP Address,67.134.206.38,100,517,TRUE,6/19/18 14:32,R_2ts4v3kZTCAXSBG,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,"Moderately
Dissatisfied","Moderately
Dissatisfied",,The pacing is sooo slow. There are many people hear struggling to engage with low level content and pacing. There is little awareness of your audience.,I found the video to be somewhat helpful,"Moderately
Satisfied","Moderately
Satisfied",This was great practice. Love the scenarios.,,"Moderately
Dissatisfied","Completely
Dissatisfied",,The directions were not clear and my group's understanding of the directions and lack of correction or guidance from Teacher Fellow left us with much wasted time with no product.,,,,,"Completely
Satisfied","Completely
Satisfied",,"This was very low level content. You are telling teachers, leaders, etc to have a y and x axis on a graph, a title, etc. You are kidding me. Look at the faces of the audience! People were dying!","Moderately
Dissatisfied","Moderately
Dissatisfied",,This was a mess in the agenda. Creating displays in ppt with this much time allotted doesn't represent the priority of time on other items that should have had that amount of time.,,,,,No,,,Very Well,Somewhat,Very Well,Very Well,Somewhat,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Strongly disagree,Strongly disagree
6/19/18 16:45,6/19/18 16:48,IP Address,67.134.206.37,100,189,TRUE,6/19/18 16:48,R_1QhjkUGwgHlL84m,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,"Completely
Satisfied","Completely
Satisfied",,,I found the video to be very helpful,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,No,,,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Strongly agree,Strongly agree
6/19/18 16:46,6/19/18 16:48,IP Address,67.134.206.36,100,148,TRUE,6/19/18 16:48,R_2Qik9yYhGbPuWyL,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,"Completely
Satisfied","Completely
Satisfied",,,I found the video to be very helpful,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,Not Sure,,,Very Well,Somewhat,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Strongly agree,Strongly agree
6/19/18 16:47,6/19/18 16:49,IP Address,67.134.206.44,100,95,TRUE,6/19/18 16:49,R_eu0xNkSeMbYVA53,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,"Completely
Satisfied","Completely
Satisfied",,,I found the video to be very helpful,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,No,,,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Strongly agree,Strongly agree
6/19/18 16:47,6/19/18 16:49,IP Address,67.134.206.35,100,117,TRUE,6/19/18 16:49,R_3RjEUtn6ylqLX6K,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,"Moderately
Satisfied","Moderately
Satisfied",,,I did not watch the video,"Moderately
Satisfied","Moderately
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Moderately
Satisfied","Moderately
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,No,,,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Strongly agree,Strongly agree
6/19/18 16:45,6/19/18 16:50,IP Address,67.134.206.34,100,250,TRUE,6/19/18 16:50,R_5sEg05y3WCHctGN,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,System Team,"Completely
Satisfied","Completely
Satisfied",Great review from the previous day,,I found the video to be very helpful,"Completely
Satisfied","Completely
Satisfied",The interactive session and application of information,,,,,,"Completely
Dissatisfied","Completely
Dissatisfied",Getting to hear from a district who has successfully done what we are hoping to do.,,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied","Completely
Satisfied",Great discussion and stayed on task,,No,,,Somewhat,Somewhat,Very Well,Very Well,Very Well,Somewhat,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Somewhat agree,Somewhat agree
6/19/18 16:39,6/19/18 16:51,IP Address,67.134.206.37,100,716,TRUE,6/19/18 16:51,R_3qkROT1wBcf1Dlz,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,"Moderately
Satisfied","Moderately
Satisfied",,I don't necessarily need such a long discussion about norms every day.,I did not find the video to be helpful,"Completely
Satisfied","Completely
Satisfied",I liked the situations that we did during the session.,More discussion around the working definitions,"Completely
Satisfied","Completely
Satisfied",We had a great discussion that was well facilitated.,More time to discuss with our teams.,,,,,"Moderately
Dissatisfied","Moderately
Dissatisfied",I think this was a good crash course on how to create data,"This could have been optional--many professionals already understand how to create data, or shorten the session.","Completely
Satisfied","Completely
Satisfied",Great discussion/facilitation. The rolling agenda kept us on task and focused.,It would have been helpful to come prepared with data already in a table form as we spent a lot of time pulling data to be displayed on a chart.,,,,,Not Sure,,,Very Well,Somewhat,Very Well,Somewhat,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Very Well,Somewhat,Somewhat agree,Somewhat agree
6/19/18 16:48,6/19/18 16:51,IP Address,67.134.206.46,100,207,TRUE,6/19/18 16:51,R_bpyl2RFX5OBIOhb,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,"Moderately
Satisfied","Completely
Satisfied",,,I found the video to be somewhat helpful,"Completely
Satisfied","Completely
Satisfied",,,"Moderately
Satisfied","Moderately
Satisfied",This session led to fruitful discussion about the best use of the data sources,There were moments during this session where it felt like we were starting a conversation that we could not end (or come to a conclusion) within the time frame provided,,,,,"Moderately
Satisfied","Moderately
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,Not Sure,,,Somewhat,Somewhat,Very Well,Very Well,Somewhat,Very Well,Very Well,Somewhat,Very Well,Very Well,Very Well,Somewhat,Neutral,Somewhat agree
