StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,2,3,5,6_1,6_2,7,8,9_1,9_2,10,11,12_1,12_2,13,14,15_1,15_2,16,17,18_1,18_2,19,20,21,22_1,22_2,23,24,25_1,25_2,26,27,28_1,28_2,29,30,31_1,31_2,32,33,Q83,Q82
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your role?,What kind of team are you on?,Did you attend the Chart-Making Office hours yesterday?,[Optional Session] Chart Making Office Hours on Tuesday (Teaching Fellows) - Importance of Topic,[Optional Session] Chart Making Office Hours on Tuesday (Teaching Fellows) - Quality of Instruction,What worked well about this session?,What would you have liked to change about this session?,"[Faculty Session] Big Picture and Spiral Review (Candice Bocala & Kathryn Boudett)In this session, we practiced as - Importance of Topic","[Faculty Session] Big Picture and Spiral Review (Candice Bocala & Kathryn Boudett)In this session, we practiced as - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,"[Faculty Session] Discussing a Data Overview (Candice Bocala & Kathryn Boudett)In this session, we reviewed BINcA High School's data overview meeting and participated in the Question Formulation Technique and the Nominal Group Technique to select  a priority question.  We then reflected on what we noticed and wondered about this particular meeting, and the implications for how we want to run our own data overview meetings in the future. - Importance of Topic","[Faculty Session] Discussing a Data Overview (Candice Bocala & Kathryn Boudett)In this session, we reviewed BINcA High School's data overview meeting and participated in the Question Formulation Technique and the Nominal Group Technique to select  a priority question.  We then reflected on what we noticed and wondered about this particular meeting, and the implications for how we want to run our own data overview meetings in the future. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,"[Team Session] Discussing a Data Overview (Team time before lunch)

In this morning team session, the objectives were to: 


        Check in about our norms
        Apply principles of responsible data use to help our faculty discuss our data charts
        Determine when we will be discussing our data overview and with whom
        Plan our data overview meeting - Importance of the objectives we were asked to discuss","[Team Session] Discussing a Data Overview (Team time before lunch)

In this morning team session, the objectives were to: 


        Check in about our norms
        Apply principles of responsible data use to help our faculty discuss our data charts
        Determine when we will be discussing our data overview and with whom
        Plan our data overview meeting - Satisfaction with how our discussion went",What worked well about this session?,What would you have liked to change about this session?,"[Team Session] Strategic Planning and Coherence II (Team time before lunch) 

In this session, we checked in about our norms and analyzed the forces working for and against using Data Wise to bring coherence to our system. - Importance of the objectives we were asked to discuss","[Team Session] Strategic Planning and Coherence II (Team time before lunch) 

In this session, we checked in about our norms and analyzed the forces working for and against using Data Wise to bring coherence to our system. - Satisfaction with how our discussion went",What worked well about this session?,What would you have liked to change about this session?,Which Step 4 case did you participate in?,"[Case Session] Step 4 Case Discussion: Digging into Data (Elementary)

In this session we looked at student work and practiced identifying a learner-centered problem. - Importance of Topic","[Case Session] Step 4 Case Discussion: Digging into Data (Elementary)

In this session we looked at student work and practiced identifying a learner-centered problem. - Quality of Instruction",What worked well about this Case Discussion? (Elementary),What would you have liked to change about this Case Discussion? (Elementary),"[Case Session] Step 4 Case Discussion: Digging into Data (High School)
In this session we looked at student work and practiced identifying a learner-centered problem. - Importance of Topic","[Case Session] Step 4 Case Discussion: Digging into Data (High School)
In this session we looked at student work and practiced identifying a learner-centered problem. - Quality of Instruction",What worked well about this Case Discussion? (High School),What would you have liked to change about this Case Discussion? (High School),"[Team Session] Making Instructional Change (Working with your School Team)

In this afternoon team meeting, the objectives were to:


        Analyze the forces supporting and resisting using Data Wise to meaningfully improve instruction in our school
        Decide on a process for finishing any remaining Data Overview charts - Importance of Topic","[Team Session] Making Instructional Change (Working with your School Team)

In this afternoon team meeting, the objectives were to:


        Analyze the forces supporting and resisting using Data Wise to meaningfully improve instruction in our school
        Decide on a process for finishing any remaining Data Overview charts - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,"[Case Session] System Case: Supporting Schools with Data Wise (Donna Drakeford and David Rease, Jr. )

In this session, Prince Georgeâ€™s County leaders discussed how they support schools with Data Wise. - Importance of Topic","[Case Session] System Case: Supporting Schools with Data Wise (Donna Drakeford and David Rease, Jr. )

In this session, Prince Georgeâ€™s County leaders discussed how they support schools with Data Wise. - Quality of Instruction",What worked well about this session?,What would you have liked to change about this session?,"Please indicate the extent to which you agree with this statement:

Today's sessions helped me articulate how and why equity is central to the work of school improvement.","Please indicate the extent to which you agree with this statement:

Today's sessions helped me reflect on how Data Wise tools could be used in service of equity."
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID73""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID75_2""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID77_TEXT""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID63_2""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID59_2""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID61_TEXT""}","{""ImportId"":""QID64_1""}","{""ImportId"":""QID64_2""}","{""ImportId"":""QID65_TEXT""}","{""ImportId"":""QID66_TEXT""}","{""ImportId"":""QID37""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID68_TEXT""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID70_2""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID72_TEXT""}","{""ImportId"":""QID83""}","{""ImportId"":""QID82""}"
6/20/18 16:20,6/20/18 16:29,IP Address,67.134.206.45,100,529,TRUE,6/20/18 16:29,R_10ZPMFg0UusGBum,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Completely
Satisfied","Completely
Satisfied",loved the priority activities. I will use this with my faculty!,nh,"Completely
Satisfied","Completely
Satisfied",Helped to give an example so we understand what to do.,nh,"Completely
Satisfied","Completely
Satisfied",my group was able to follow protocol and had a fabulous conversation. Great agenda.,Give longer time for group work. Cut out the 8:00-8:30 review on equity.,,,,,Elementary Case,"Moderately
Satisfied","Moderately
Satisfied",The looking at all the data from the school and have many student examples. Loved the examples given.,Wasting so much time on learning the background of the school. (Especially the cultural change-how does this help us understand the kids and learning.),,,,,"Completely
Satisfied","Completely
Satisfied",too much time. We didnt have enough data with us so there was alot of time left over.,,,,,,Somewhat disagree,Somewhat disagree
6/20/18 16:32,6/20/18 16:34,IP Address,67.134.206.36,100,76,TRUE,6/20/18 16:34,R_2w0RYhbXLJARtm1,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Completely
Satisfied",,,,"Completely
Satisfied",,,,"Completely
Satisfied",,,,,,,,Elementary Case,"Completely
Satisfied",,,,,,,,"Completely
Satisfied",,,,,,,,Strongly agree,Strongly agree
6/20/18 16:31,6/20/18 16:45,IP Address,67.134.206.42,100,859,TRUE,6/20/18 16:45,R_3MR5tQcrqpL71KN,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,Neutral,Neutral,,,"Completely
Satisfied","Completely
Satisfied",This was my favorite part so far!,N/A,"Completely
Satisfied","Completely
Satisfied",,Had more than one note-taker...there was A LOT!!!,,,,,Elementary Case,"Completely
Dissatisfied","Completely
Dissatisfied",This taught me how to slow down with in a meeting and collaborate more with team/staff members.,I think Rob needed to slow down. I can see where this would be difficult and easily frustrate team members.,,,,,"Moderately
Satisfied","Moderately
Satisfied",It was nice to discuss our positive and negative forces within the school.,,,,,,Strongly disagree,Strongly disagree
6/20/18 16:44,6/20/18 16:45,IP Address,67.134.206.40,100,68,TRUE,6/20/18 16:46,R_1eWdEfR4q4NqYfv,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",,,,,,,"Completely
Satisfied","Completely
Satisfied",,,,,,,Strongly agree,Strongly agree
6/20/18 16:44,6/20/18 16:46,IP Address,67.134.206.45,100,119,TRUE,6/20/18 16:46,R_3QW9g0iJ4nKKUOT,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",Guided practice opportunity.,,,,,,"Completely
Satisfied","Completely
Satisfied",,,,,,,Somewhat agree,Somewhat agree
6/20/18 16:34,6/20/18 16:46,IP Address,67.134.206.39,100,703,TRUE,6/20/18 16:46,R_D1wGJTCE4Yz13zP,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Completely
Dissatisfied","Completely
Dissatisfied",,,"Completely
Satisfied","Completely
Satisfied",,,"Completely
Satisfied","Completely
Satisfied",,,,,,,Elementary Case,"Completely
Satisfied","Moderately
Dissatisfied","Great to see it modeled, great to have math as an example.","Presenters were hard to hear. Timing was off. For example, we spent over 5 minutes discussing a very simple graph on race change that had nothing to do with the case study but did not have enough time to discuss applicable topics throughout.",,,,,"Completely
Satisfied","Completely
Satisfied",,,,,,,Strongly disagree,Strongly disagree
6/20/18 16:36,6/20/18 16:47,IP Address,67.134.206.36,100,639,TRUE,6/20/18 16:47,R_Ck6HPkFVuTQDHax,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Completely
Satisfied","Completely
Satisfied",Loved the listening activity. This will be helpful as we engage in how we address those forces that may be a potential resister.,N/A,"Completely
Satisfied","Completely
Satisfied",Another opportunity for us to delve into the data providing and to reflect on our processes.,n/a,"Moderately
Satisfied","Moderately
Satisfied",,,,,,,High School Case,,,,,"Moderately
Satisfied",Neutral,,This was a timed activity and one item to we used was a rubric to assess a writing sample. Would like to have time to examine the rubric outside of the allotted time to better assess the writing sample-felt rushed to provide through feedback.,"Completely
Satisfied","Completely
Satisfied",Identify those forces ahead will help us prepare for our upcoming role-out to our school team.,,,,,,Strongly agree,Strongly agree
6/20/18 16:38,6/20/18 16:47,IP Address,67.134.204.36,100,564,TRUE,6/20/18 16:47,R_2QQfIGzjsze7IL6,,,,,42.38000488,-71.13289642,anonymous,EN,Practitioner,School Team,No,,,,,"Moderately
Satisfied","Moderately
Satisfied","Keeping ourselves grounded in the norms and continuing to practice ""living in them"".","I found the eye contact protocol and listening dyad to be very uncomfortable. I can envision this method working with people I know, but to share with a stranger felt very intimate and I did not enjoy that.","Completely
Satisfied","Completely
Satisfied",I loved the protocols of allowing everyone to ask questions openly without any feedback or editing. I also enjoyed the hot dots protocol.,N/A,"Completely
Satisfied","Completely
Satisfied","Per usual, having dedicated time to apply what we are learning in a meaningful way is very powerful.",We needed more time to continue digging into our data.,,,,,Elementary Case,"Completely
Satisfied","Completely
Satisfied",It was so helpful to walk through this process of looking at real data from a real school and seeing how they used the data wise process to inform their teaching.,I would've liked a few more minutes in each section of the agenda. Our work felt rushed and it was so meaningful.,,,,,"Completely
Satisfied","Completely
Satisfied",We got the time we needed to really dig deep into our data and begin to envision how this will look when we take it back to our school.,None. This session was what I had been wanting for so long!,,,,,Strongly agree,Strongly agree
